ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,31/485,200/4384,0.155,1.4010721649484537,2.047489433783737,0.030739608300823864,0.09221882490247159,0.06269262219246972,SCARB1/SLC27A2/KRT19/ITPK1/CLDN7/SLC37A1/SFN/AREG/MICB/KRT15/TFF3/KRT18/CANT1/MYOF/TFAP2C/FHL2/SVIL/RHOD/BCL11B/PAPSS2/MYB/TGM2/MREG/JAK2/SULT2B1/BHLHE40/PDZK1/TMPRSS3/ELOVL5/ANXA9/P2RY2,31
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,30/485,200/4384,0.15,1.355876288659794,1.816762678753203,0.048652776231916495,0.13737254465482304,0.09338922991884901,LYN/IL18/FAS/TIMP1/ACHE/CTSS/BRCA1/TAP1/LIF/IL2RG/LY75/C2/CCND2/JAK2/GZMB/STAT1/NOS2/TLR1/EREG/CCR1/CCL13/TNF/PF4/ICAM1/IL4R/IGSF6/INHBA/FGR/GPR65/CXCL9,30
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,29/485,200/4384,0.145,1.310680412371134,1.5860359237226687,0.07435230039898544,0.19827280106396117,0.13479072002155257,IL32/FAS/TIMP1/SLC6A8/LAMC2/TNFRSF12A/BMP1/AREG/TNFRSF11B/MEST/LRP1/ECM1/PRSS2/TGM2/PLAUR/CXCL1/ITGA2/NID2/ANPEP/MSX1/MMP3/TFPI2/NT5E/PDLIM4/THBS2/SPP1/INHBA/SERPINE2/SCG2,29
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,28/485,200/4384,0.14,1.2654845360824745,1.3553091686921344,0.10969944503221163,0.27713544008137675,0.18840347900269036,UPP1/SERPINB5/ST14/BAK1/S100A10/FAS/IER5/SFN/VDR/EPHA2/SLC35D1/TM4SF1/APAF1/CASP1/HMOX1/TAP1/LIF/CDKN1A/PTPRE/MXD1/TNFSF9/CCND2/HSPA4L/KLK8/PROCR/OSGIN1/KRT17/RRAD,28
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,22/485,158/4384,0.13924050632911392,1.258619339684197,1.167628757488507,0.1496712768544228,0.3571515100812347,0.2428003686955763,CHRNA5/BAK1/LYN/NAT1/GCH1/EPCAM/SLC6A8/CCK/GAL/CLCN2/FEN1/HMOX1/TAP1/ONECUT1/IRF1/SLC6A12/CXCL2/MSX1/TFRC/DGAT1/ICAM1/RRAD,22
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,27/485,200/4384,0.135,1.2202886597938145,1.1245824136616003,0.15625378566054018,0.3571515100812347,0.2428003686955763,UPP1/ETS2/GCH1/XDH/FAS/EPHA2/DDC/CYP4F2/SLC35D1/HMOX1/RBP4/PAPSS2/KYNU/ACOX2/VNN1/HSD17B2/SLC6A12/FABP1/ARG2/CYP2J2/TDO2/AQP9/HNF4A/ELOVL5/TMEM176B/SLC46A3/CCL25,27
HALLMARK_APICAL_SURFACE,HALLMARK_APICAL_SURFACE,7/485,44/4384,0.1590909090909091,1.43805060918463,1.0298779245897682,0.20796085606454232,0.45373277686809227,0.30845868602874704,LYN/AFAP1L2/PCSK9/BRCA1/PLAUR/IL2RG/HSPB1,7
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,24/485,200/4384,0.12,1.0847010309278349,0.4324021485699976,0.3664023291083465,0.7050942268569379,0.479340373521164,ANXA2/LDHA/ADORA2B/PGM2/SCARB1/XPNPEP1/PFKP/KDELR3/EXT1/F3/MAFF/HMOX1/CDKN1A/HS3ST1/TGM2/PLAUR/SULT2B1/BHLHE40/HOXB9/RRAGD/EFNA3/SLC2A5/LDHC/PCK1,24
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,24/485,200/4384,0.12,1.0847010309278349,0.4324021485699976,0.3664023291083465,0.7050942268569379,0.479340373521164,DHFR/LDHA/PPA1/CD9/AURKA/MAP2K3/SCD/CCNF/STARD4/RRM2/CDC25A/BUB1/POLR3G/CTSC/LDLR/MCM4/CDKN1A/DAPP1/SQLE/BHLHE40/ELOVL5/TFRC/FGL2/PIK3R3,24
HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,5/485,36/4384,0.1388888888888889,1.2554410080183276,0.5427215780874317,0.3672365764879885,0.7050942268569379,0.479340373521164,TIMP1/CCND2/MSX1/SPP1/PF4,5
