ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,method,direction,database,category,subcategory,pathway
hsa04060,Cytokine-cytokine receptor interaction,46/652,298/9423,0.15436241610738255,2.230915716226788,5.886956199288273,1.80253795062772e-7,2.0188425047030464e-5,1.6697193647919934e-5,6359/58191/7133/9235/8792/3606/355/51330/58985/4982/10913/53833/3557/6362/2921/3976/3598/10673/2919/3561/23529/1235/8744/8771/3579/6364/3627/2920/414062/6374/27189/3604/1437/8784/1230/6357/7124/10344/5196/6348/6370/3566/6373/8794/3624/4283,46,FDR,B_higher,KEGG,Environmental Information Processing,Signaling molecules and interaction,Cytokine-cytokine receptor interaction
hsa04382,Cornified envelope formation,36/652,217/9423,0.16589861751152074,2.3976421362132823,5.678859961370976,6.989454393248926e-7,5.3058863416045446e-5,4.388327049447368e-5,9075/1364/6768/6281/140576/3880/1366/57402/10999/3918/9076/11187/3866/3875/144501/3854/1308/9069/3855/1365/137075/11240/26154/24146/6280/6274/3861/286887/6283/3872/1830/3853/3868/1041/6279/54474,36,FDR,B_higher,KEGG,Organismal Systems,Development and regeneration,Cornified envelope formation
hsa05160,Hepatitis C,29/652,156/9423,0.1858974358974359,2.686674138744691,5.791548479494337,7.895664198816286e-7,5.3058863416045446e-5,4.388327049447368e-5,9075/1364/949/578/4940/1366/355/4938/9076/7187/1870/317/3949/9069/9021/1026/1365/137075/4939/1869/9641/24146/6772/91543/3434/3627/4599/8503/7124,29,FDR,B_higher,KEGG,Human Diseases,Infectious disease: viral,Hepatitis C
hsa04110,Cell cycle,29/652,158/9423,0.18354430379746836,2.6526656053428597,5.7116503419980535,1.039001783405631e-6,5.818409987071534e-5,4.812218786299765e-5,11200/9319/890/157570/994/9700/4085/2810/1870/993/23594/699/1111/8318/4998/891/991/6502/9133/701/9232/4173/990/1026/26271/9134/1869/894/81620,29,FDR,B_higher,KEGG,Cellular Processes,Cell growth and death,Cell cycle
hsa05150,Staphylococcus aureus infection,21/652,99/9423,0.21212121212121213,3.0656720580033467,5.633115190266128,3.021608611263213e-6,1.450372133406342e-4,1.1995558998097568e-4,5724/3880/3426/3866/3875/717/3861/728/2358/3872/9103/2214/3868/3123/2357/6403/3383/3126/1668/54474/3125,21,FDR,B_higher,KEGG,Human Diseases,Infectious disease: bacterial,Staphylococcus aureus infection
hsa04668,TNF signaling pathway,23/652,119/9423,0.19327731092436976,2.7933314430066507,5.367474443905799,5.525760649915742e-6,2.3208194729646117e-4,1.9194747520759944e-4,7133/355/5606/64285/7187/11035/1326/9021/2921/3976/2919/84699/3659/6364/3627/2920/4314/64127/6374/1437/8503/7124/3383,23,FDR,B_higher,KEGG,Environmental Information Processing,Signal transduction,TNF signaling pathway
hsa05164,Influenza A,29/652,173/9423,0.1676300578034682,2.422665697365155,5.149034925750607,6.873353764737452e-6,2.566052072168649e-4,2.1222987063048977e-4,578/4940/3606/355/4938/56649/5646/7187/4615/317/834/3838/9021/5645/4939/3717/9641/6772/91543/29108/5371/3627/4599/8503/3123/7124/3383/3126/3125,29,FDR,B_higher,KEGG,Human Diseases,Infectious disease: viral,Influenza A
hsa03272,Virion - Hepatitis viruses,13/652,48/9423,0.2708333333333333,3.9142062883435584,5.518563749225768,1.4870113043587229e-5,4.996357982645309e-4,4.1323261510600295e-4,9075/1364/949/928/1366/4072/9076/3949/9069/1365/137075/24146/1803,13,FDR,B_higher,KEGG,Genetic Information Processing,Information processing in viruses,Virion - Hepatitis viruses
hsa05143,African trypanosomiasis,11/652,37/9423,0.2972972972972973,4.296675509865694,5.477817779285904,2.595447421150597e-5,7.927912122787278e-4,6.55691980080151e-4,3606/355/4615/5331/2150/7064/8542/3250/7124/3620/3383,11,FDR,B_higher,KEGG,Human Diseases,Infectious disease: parasitic,African trypanosomiasis
hsa05169,Epstein-Barr virus infection,30/652,205/9423,0.14634146341463414,2.1149932664970823,4.400495848537933,7.087900030389232e-5,0.00198461200850898,0.00164140842809013,965/578/4067/4940/355/4938/5606/890/7187/1870/4615/317/6502/6890/1026/9636/4939/9134/1869/894/9641/6772/3627/956/8503/3123/7124/3383/3126/3125,30,FDR,B_higher,KEGG,Human Diseases,Infectious disease: viral,Epstein-Barr virus infection
