ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,method,direction,database,category,subcategory
GO:0050727,regulation of inflammatory response,71/1161,460/18860,0.15434782608695652,2.507321274763135,8.382564595912962,5.904792086182783e-13,2.8708025524459566e-10,2.220653865904147e-10,F12/ADORA2B/CCL15/LYN/TNFRSF1B/TNFRSF11A/IL18/PLA2G3/ANXA1/FANCD2/CAMK2N1/PBK/USP18/MYD88/IL22RA1/MGLL/IL20RB/FANCA/GBP1/IFI35/MAP3K8/CASP1/PIK3AP1/CTSC/DUSP10/BST1/LDLR/GBP3/SOCS3/STAT5A/MFHAS1/SAA1/FFAR2/MDK/PLA2G2A/CREB3L3/ACE2/LRRC19/PLA2G7/SEMA7A/JAK2/ZBP1/S100A9/PYCARD/MMP3/NR5A2/HCK/NOD2/AGT/S100A12/FPR2/ADAM8/NT5E/DNASE1L3/SIGLEC10/C2CD4A/TTBK1/CCR1/S100A8/HLA-DRB1/TNF/IDO1/NR1H4/SLAMF8/TREM2/TNFAIP6/CCL3/FGR/REG3A/NLRP7/MMP9,71,Nominal,B_higher,GO_BP,NA,NA
GO:0000075,cell cycle checkpoint signaling,41/1161,187/18860,0.2192513368983957,3.561653931010976,9.016443967528334,6.811188389823375e-13,3.0355196257312836e-10,2.3480675764917424e-10,LYN/CHEK2/FANCD2/TRIP13/ZWILCH/SKA1/MAD2L1/CDCA8/RAD51/SPC25/BUB1/SKA3/CHEK1/HUS1/NUF2/PARP9/CDC45/ORC1/BIRC5/FBXO6/CCNB1/CDC20/INCENP/BRCA1/BUB1B/CDC6/CDKN1A/CLSPN/CENPF/ZWINT/SPC24/BRCA2/STK38/NEK11/GEN1/E2F1/BRIP1/BLM/DTL/CDT1/WDR76,41,Nominal,B_higher,GO_BP,NA,NA
GO:0060326,cell chemotaxis,57/1161,330/18860,0.17272727272727273,2.8058883407720616,8.476395844059805,1.14642705393315e-12,4.494617029929998e-10,3.476724191557079e-10,CCL15/CCRL2/CXCL16/LYN/TNFRSF11A/ANXA1/S100A14/CKLF/LGALS3/EDN3/EPHA2/NEDD9/CCL18/MCU/TRPM2/BST1/F2RL1/CXCL3/SAA1/CXCL1/FFAR2/HSPB1/MDK/CCR6/PADI2/PLA2G7/DPP4/S100A9/CXCR2/CCL20/CXCL10/CXCL2/S100A12/CCL3L3/C5AR1/CXCL5/FPR2/HOXB9/ADAM8/RIN3/NCKAP1L/CCR1/S100A8/CCL13/LEF1/SLAMF8/CCL26/PF4/TNFAIP6/CCL3/CCL25/CXCL11/SCG2/CXCL9/DEFB4A/CH25H/DPEP1,57,Nominal,B_higher,GO_BP,NA,NA
GO:0045787,positive regulation of cell cycle,59/1161,349/18860,0.16905444126074498,2.746224601358872,8.433327207131471,1.1766013167356018e-12,4.494617029929998e-10,3.476724191557079e-10,GPSM2/AURKA/PLK4/ECT2/RAD51AP1/ANXA1/FAM83D/CHEK2/CDC25B/SKA1/ESPL1/RRM2/MAD2L1/CDCA8/EDN3/CDC25A/PKP3/SPAG5/BUB1/SKA3/NCAPG/EZH2/CHEK1/STIL/BIRC5/KIF23/SVIL/CCNB1/FEN1/CDC20/KIF20B/POC1A/INCENP/NCAPG2/STAT5A/DLGAP5/RACGAP1/CDC6/KIF14/MSX2/BRCA2/GEN1/TBX3/FBXO5/CCNE2/UBE2C/HOXA13/CCND2/NUSAP1/E2F7/OVOL1/MEIS2/ATAD5/DTL/MSX1/EREG/TNF/LEF1/CYP1A1,59,Nominal,B_higher,GO_BP,NA,NA
GO:0097530,granulocyte migration,35/1161,148/18860,0.23648648648648649,3.841632330004423,8.88872999046653,3.3052763203667608e-12,1.178441184088096e-9,9.115604167748331e-10,WDR1/ANXA1/S100A14/CKLF/LGALS3/EDN3/MYD88/MCU/BST1/CXCL3/FUT4/SAA1/GP2/MDK/DPP4/S100A9/CXCR2/CXCL10/S100A12/C5AR1/CXCL5/ADAM8/NCKAP1L/S100A8/FAM3D/CCL13/SLAMF8/CCL26/PF4/TNFAIP6/CCL3/CCL25/SCG2/CXCL9/DPEP1,35,Nominal,B_higher,GO_BP,NA,NA
GO:0010965,regulation of mitotic sister chromatid separation,22/1161,61/18860,0.3606557377049181,5.85871422318239,9.734641780917803,4.171851421971595e-12,1.3944413377940054e-9,1.0786431637071296e-9,TRIP13/ZWILCH/SKA1/ESPL1/MAD2L1/CDCA8/SPC25/BUB1/SKA3/NUF2/BIRC5/CCNB1/CDC20/INCENP/DLGAP5/BUB1B/CENPF/ZWINT/SPC24/GEN1/FBXO5/UBE2C,22,Nominal,B_higher,GO_BP,NA,NA
GO:1990266,neutrophil migration,29/1161,106/18860,0.27358490566037735,4.4442819300212895,9.107637686445562,4.971122119050879e-12,1.541085805183281e-9,1.192077159069853e-9,WDR1/CKLF/LGALS3/EDN3/MYD88/MCU/BST1/CXCL3/FUT4/SAA1/GP2/MDK/DPP4/S100A9/CXCR2/CXCL10/S100A12/C5AR1/CXCL5/ADAM8/NCKAP1L/S100A8/FAM3D/SLAMF8/PF4/TNFAIP6/CCL3/CXCL9/DPEP1,29,Nominal,B_higher,GO_BP,NA,NA
GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,33/1161,135/18860,0.24444444444444444,3.9709063068236192,8.872499882661732,5.186900615800124e-12,1.541085805183281e-9,1.192077159069853e-9,CCL15/LGALS4/DMBT1/LGALS3/SEMG1/CCL18/CXCL3/CXCL1/NTS/S100A9/CCL20/CXCL10/KLK7/CXCL2/S100A12/CCL3L3/CXCL5/REG3G/KRT6A/MMP7/CCL13/CCL26/PF4/CCL3/CCL25/CXCL11/REG3A/DEFA3/CXCL9/DEFA5/DEFB4A/REG1B/DEFA6,33,Nominal,B_higher,GO_BP,NA,NA
GO:0030595,leukocyte chemotaxis,45/1161,237/18860,0.189873417721519,3.0844208942530997,8.270577674611891,1.0451859309831336e-11,2.941923346788314e-9,2.275667982694578e-9,CXCL16/LYN/TNFRSF11A/ANXA1/S100A14/CKLF/LGALS3/EDN3/NEDD9/MCU/TRPM2/BST1/F2RL1/CXCL3/SAA1/FFAR2/MDK/CCR6/PADI2/PLA2G7/DPP4/S100A9/CXCR2/CXCL10/S100A12/C5AR1/CXCL5/FPR2/ADAM8/RIN3/NCKAP1L/CCR1/S100A8/CCL13/SLAMF8/CCL26/PF4/TNFAIP6/CCL3/CCL25/CXCL11/SCG2/CXCL9/CH25H/DPEP1,45,Nominal,B_higher,GO_BP,NA,NA
GO:1905818,regulation of chromosome separation,24/1161,76/18860,0.3157894736842105,5.129878960968312,9.239557134246825,1.1893582332795104e-11,3.1803439157894103e-9,2.4600936088360395e-9,TRIP13/ZWILCH/SKA1/ESPL1/MAD2L1/CDCA8/SPC25/BUB1/SKA3/NCAPG/NUF2/BIRC5/CCNB1/CDC20/INCENP/NCAPG2/DLGAP5/BUB1B/CENPF/ZWINT/SPC24/GEN1/FBXO5/UBE2C,24,Nominal,B_higher,GO_BP,NA,NA
GO:0051306,mitotic sister chromatid separation,22/1161,64/18860,0.34375,5.584086993970715,9.408300821814388,1.2670061044840832e-11,3.226642212752798e-9,2.4959067622167662e-9,TRIP13/ZWILCH/SKA1/ESPL1/MAD2L1/CDCA8/SPC25/BUB1/SKA3/NUF2/BIRC5/CCNB1/CDC20/INCENP/DLGAP5/BUB1B/CENPF/ZWINT/SPC24/GEN1/FBXO5/UBE2C,22,Nominal,B_higher,GO_BP,NA,NA
GO:0044772,mitotic cell cycle phase transition,68/1161,461/18860,0.1475054229934924,2.3961690591363194,7.773067476570922,1.5323694791419493e-11,3.725050897477793e-9,2.881441173697541e-9,MELK/CALM2/AURKA/CCNF/ANXA1/CHEK2/TRIP13/ZWILCH/CCNA2/CDC25B/SKA1/ESPL1/RRM2/MAD2L1/CDCA8/CDKN3/FOXM1/CDC25A/ANLN/SPC25/CKS2/BUB1/SKA3/EZH2/CHEK1/HUS1/NUF2/ORC1/STIL/TACC3/BIRC5/CCNI2/UBE2S/CCNB1/CDC20/SKP2/CENPE/INCENP/BRCA1/DLGAP5/CCNB2/BUB1B/CDC6/MYB/CDKN1A/KIF14/CLSPN/CENPF/ZWINT/SPC24/RCC1/NEK11/GEN1/FBXO5/CCNE2/UBE2C/IQGAP3/E2F1/CCND2/E2F7/BLM/ATAD5/UBD/DTL/SLFN11/PIM2/INHBA/CYP1A1,68,Nominal,B_higher,GO_BP,NA,NA
