category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Immune system,hsa04650,Natural killer cell mediated cytotoxicity,10/652,133/9423,0.07518796992481203,1.0866506757691774,0.2743852173562712,0.44030866889193265,0.8141934502868037,0.6733930791845745,355/4277/3002/80328/1437/2214/8503/7124/117157/3383,10
Human Diseases,Substance dependence,hsa05030,Cocaine addiction,4/652,49/9423,0.08163265306122448,1.1797921622636784,0.34401478912940614,0.44277109394405567,0.8141934502868037,0.6733930791845745,2906/84152/1644/84699,4
Human Diseases,Cancer: specific types,hsa05220,Chronic myeloid leukemia,6/652,77/9423,0.07792207792207792,1.1261652457971476,0.3030700388792521,0.44355896085370705,0.8141934502868037,0.6733930791845745,578/1870/6776/1026/1869/8503,6
Environmental Information Processing,Signaling molecules and interaction,hsa04081,Hormone signaling,16/652,219/9423,0.0730593607305936,1.0558870493318766,0.22814750593662134,0.4482228507645418,0.8141934502868037,0.6733930791845745,885/5331/150/6776/2984/113/3717/2769/2520/183/7433/4295/8503/6567/2980/2641,16
Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,24/652,333/9423,0.07207207207207207,1.0416183054219863,0.21081201552458284,0.44829103661624603,0.8141934502868037,0.6733930791845745,578/355/890/3918/7187/1026/9636/84699/3659/9134/3673/1869/894/9641/3696/6772/10319/54626/388585/4599/8503/7058/6696/7124,24
Environmental Information Processing,Signal transduction,hsa04072,Phospholipase D signaling pathway,11/652,149/9423,0.0738255033557047,1.0669596903693335,0.22461761806047698,0.45724348066088427,0.8239665600786377,0.6814761023206778,5331/10555/1608/5321/255189/5337/113/3579/183/8503/283748,11
Metabolism,Glycan biosynthesis and metabolism,hsa00512,Mucin type O-glycan biosynthesis,3/652,36/9423,0.08333333333333333,1.2043711656441718,0.3349486685175622,0.45857662718662273,0.8239665600786377,0.6814761023206778,9245/11227/26290,3
Human Diseases,Cancer: specific types,hsa05226,Gastric cancer,11/652,150/9423,0.07333333333333333,1.059846625766871,0.20144011526804131,0.46623361870122915,0.833268595125601,0.6891695147655347,578/1045/83998/1870/1026/1015/9134/1869/8503/51176/4583,11
Organismal Systems,Endocrine system,hsa04935,"Growth hormone synthesis, secretion and action",9/652,122/9423,0.07377049180327869,1.0661646384391028,0.20054499560251043,0.4713458645421402,0.8344768296076607,0.6901688064424262,5606/5331/9021/6776/113/84699/3717/6772/8503,9
Metabolism,Carbohydrate metabolism,hsa00040,Pentose and glucuronate interconversions,3/652,37/9423,0.08108108108108109,1.1718205935997348,0.2855003168044371,0.47684390263294896,0.8344768296076607,0.6901688064424262,7364/27294/54576,3
Metabolism,Global and overview maps,hsa01250,Biosynthesis of nucleotide sugars,3/652,37/9423,0.08108108108108109,1.1718205935997348,0.2855003168044371,0.47684390263294896,0.8344768296076607,0.6901688064424262,55276/80201/29925,3
Human Diseases,Cancer: specific types,hsa05216,Thyroid cancer,3/652,37/9423,0.08108108108108109,1.1718205935997348,0.2855003168044371,0.47684390263294896,0.8344768296076607,0.6901688064424262,578/1026/51176,3
Environmental Information Processing,Signal transduction,hsa04022,cGMP-PKG signaling pathway,12/652,166/9423,0.07228915662650602,1.04475570995639,0.1586127720065837,0.48104013794086997,0.8374584784877321,0.692634831831959,91860/805/5331/150/113/84699/6722/483/624/5140/140/5997,12
Organismal Systems,Immune system,hsa04659,Th17 cell differentiation,8/652,109/9423,0.07339449541284404,1.0607305679067935,0.17386944459502873,0.4847457086639223,0.8395595778921541,0.6943725832190749,6776/3561/3717/6772/3123/3566/3126/3125,8
Metabolism,Glycan biosynthesis and metabolism,hsa00520,Amino sugar and nucleotide sugar metabolism,3/652,38/9423,0.07894736842105263,1.1409832095576364,0.2374175644349257,0.4948197446659415,0.8478470118752084,0.7012268519268642,55276/80201/29925,3
