category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Cardiovascular disease,hsa05414,Dilated cardiomyopathy,12/458,105/9423,0.11428571428571428,2.3513412351840297,3.1472226463799764,0.004826319043532931,0.06910411357785787,0.061656803092023565,4607/6641/55799/1756/3908/6262/9254/107/7169/5567/6543/7043,12
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,22/458,254/9423,0.08661417322834646,1.7820204243028572,2.8556377191900704,0.006095021563672414,0.08347529532855698,0.0744792108695897,1816/5733/887/7423/5153/886/2066/80310/1956/4773/1131/6262/5533/107/1129/26281/5979/5567/6543/147/154/816,22
Human Diseases,Cancer: specific types,hsa05225,Hepatocellular carcinoma,16/458,170/9423,0.09411764705882353,1.936398664269201,2.784665967274297,0.008499939197971535,0.11156170197337639,0.09953876166045614,6604/3480/8322/2940/2946/1956/4616/1021/10297/2941/7475/7043/2953/8325/653689/2947,16
Organismal Systems,Excretory system,hsa04960,Aldosterone-regulated sodium reabsorption,6/458,38/9423,0.15789473684210525,3.248563548609515,3.139127589313465,0.009370593801384776,0.11431867861992069,0.10199862052303701,53828/23327/6446/6338/6340/482,6
Organismal Systems,Endocrine system,hsa04916,Melanogenesis,11/458,101/9423,0.10891089108910891,2.2407583553115136,2.8334952440829673,0.009726217114149378,0.11431867861992069,0.10199862052303701,8322/7475/2770/4254/3815/107/4286/5567/8325/1906/816,11
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,28/458,362/9423,0.07734806629834254,1.5913773553041086,2.5933435476308704,0.00994661060049502,0.11431867861992069,0.10199862052303701,3480/7423/4902/2690/5523/2066/80310/1101/1280/1442/1956/1021/3908/2057/5563/256076/6446/5623/3913/10018/4254/1286/3815/1129/22798/26281/5979/1287,28
Metabolism,Global and overview maps,hsa01230,Biosynthesis of amino acids,9/458,75/9423,0.12,2.468908296943231,2.8866564866960314,0.010161660321770728,0.11431867861992069,0.10199862052303701,587/84706/2752/875/8277/3418/440/5224/26227,9
Environmental Information Processing,Signal transduction,hsa04310,Wnt signaling pathway,16/458,178/9423,0.0898876404494382,1.8493695108188999,2.5857251094769054,0.012891809621515185,0.14003172519921667,0.12494058689453919,8322/4773/10297/9620/5533/23500/7475/6907/84133/5567/57216/8325/166336/147495/816/22943,16
Human Diseases,Substance dependence,hsa05033,Nicotine addiction,6/458,41/9423,0.14634146341463414,3.0108637767600386,2.916459883249137,0.013508124236041117,0.14183530447843173,0.12654979547449047,2893/2566/2892/2562/2561/2556,6
Metabolism,Glycan biosynthesis and metabolism,hsa00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,4/458,21/9423,0.19047619047619047,3.9189020586400494,3.026552339666746,0.01705868776800013,0.17333827893290457,0.15465771253161412,64132/9469/50515/55790,4
