category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Endocrine system,hsa04922,Glucagon signaling pathway,12/662,107/9423,0.11214953271028037,1.5963520343337947,1.7053108628000218,0.07165212907695634,0.2799432019750852,0.23065495651455956,3939/91860/818/805/5214/5331/84699/5106/5140/3948/5105/2641,12
Human Diseases,Endocrine and metabolic disease,hsa04931,Insulin resistance,12/662,109/9423,0.11009174311926606,1.5670611713184959,1.6368118001316752,0.07996550987838855,0.3088323140130868,0.2544577023353441,11001/6197/10999/6195/9021/84699/5106/183/51085/8503/7124/5105,12
Organismal Systems,Immune system,hsa04666,Fc gamma R-mediated phagosome formation,11/662,98/9423,0.11224489795918367,1.5977094765398605,1.6349424256796596,0.08180886741164539,0.3123611301171915,0.25736521685720976,4067/1072/10095/5321/255189/5337/3055/10092/2214/8503/283748,11
Metabolism,Metabolism of cofactors and vitamins,hsa00730,Thiamine metabolism,3/662,15/9423,0.2,2.846827794561934,1.9676465194655948,0.0834206878637121,0.31493652946300293,0.25948717809764965,122481/248/158067,3
Human Diseases,Endocrine and metabolic disease,hsa04940,Type I diabetes mellitus,6/662,44/9423,0.13636363636363635,1.9410189508376816,1.719769111666537,0.08540070475009295,0.31882929773368035,0.26269456548859,355/3002/3123/7124/3126/3125,6
Human Diseases,Cancer: specific types,hsa05212,Pancreatic cancer,9/662,77/9423,0.11688311688311688,1.6637305292894418,1.6074888635554345,0.08954842170923906,0.33064032631103657,0.27242608339537155,578/1870/5888/1026/5337/675/1869/6772/8503,9
Environmental Information Processing,Membrane transport,hsa02010,ABC transporters,6/662,45/9423,0.13333333333333333,1.8978851963746224,1.6595703171837435,0.09300583422393174,0.33278530249991256,0.27419340400212094,6890/64240/26154/1080/64241/9429,6
Human Diseases,Immune disease,hsa05332,Graft-versus-host disease,6/662,45/9423,0.13333333333333333,1.8978851963746224,1.6595703171837435,0.09300583422393174,0.33278530249991256,0.27419340400212094,355/3002/3123/7124/3126/3125,6
Human Diseases,Infectious disease: parasitic,hsa05145,Toxoplasmosis,12/662,112/9423,0.10714285714285714,1.5250863185153214,1.5366156608480612,0.09353447544582094,0.33278530249991256,0.27419340400212094,5606/3918/4615/3949/3717/6772/10319/4843/3123/7124/3126/3125,12
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,33/662,371/9423,0.0889487870619946,1.2661093965032857,1.437469361172889,0.09409108255205861,0.33278530249991256,0.27419340400212094,1138/2906/136/5724/10874/3357/5646/885/1908/51083/150/3352/2150/5645/56923/4922/387129/624/2151/5031/183/5029/728/2358/7433/623/4295/140/2357/10911/222642/2641/10022,33
Metabolism,Xenobiotics biodegradation and metabolism,hsa00980,Metabolism of xenobiotics by cytochrome P450,9/662,79/9423,0.11392405063291139,1.6216107690542658,1.5250685496197043,0.10123247186571019,0.3543136515299857,0.29193136075308973,7364/874/27294/130/127/54576/1565/1576/1543,9
