"Cluster","N","Mean_silhouette","Median_silhouette","SD_silhouette"
"subtypeA",34,0.296278219103854,0.333669528298319,0.178911466588908
"subtypeB",37,0.257692667614327,0.276571019117633,0.124431614688972
