GSE,Signature,Group_1,Group_2,N_Group1,N_Group2,Median_Group1,IQR_Group1,Median_Group2,IQR_Group2,Effect_size_RBC,CI95_low,CI95_high,Raw_P,BH_FDR,FDR_significant,Direction
GSE130823,gastritis_subtypeA,Gastritis,LGN,47,17,0.52662163,0.433925515,-0.027975789,0.080865572,0.7847309136420526,0.6070087609511889,0.932415519399249,1.9572795584664785e-06,1.174367735079887e-05,True,Gastritis higher
GSE130823,gastritis_subtypeA,Gastritis,HGN,47,14,0.52662163,0.433925515,-0.010592135499999999,0.3188756035,0.641337386018237,0.39209726443769,0.8328267477203647,0.00030593481750335874,0.0009178044525100762,True,Gastritis higher
GSE130823,gastritis_subtypeA,GC,Gastritis,16,47,0.14194895600000002,0.26523446975,0.52662163,0.433925515,-0.5212765957446808,-0.7526595744680851,-0.2553191489361702,0.002021786623441771,0.004043573246883542,True,Gastritis higher
GSE130823,gastritis_subtypeA,GC,LGN,16,17,0.14194895600000002,0.26523446975,-0.027975789,0.080865572,0.5735294117647058,0.19117647058823528,0.875,0.005243228880139123,0.007864843320208684,True,GC higher
GSE130823,gastritis_subtypeA,GC,HGN,16,14,0.14194895600000002,0.26523446975,-0.010592135499999999,0.3188756035,0.2767857142857142,-0.17857142857142858,0.6877232142857151,0.20483303385933527,0.24579964063120233,False,GC higher
GSE130823,gastritis_subtypeA,HGN,LGN,14,17,-0.010592135499999999,0.3188756035,-0.027975789,0.080865572,0.11764705882352944,-0.31953781512605034,0.5630252100840336,0.5920471376173804,0.5920471376173804,False,HGN higher
GSE130823,gastritis_subtypeB,Gastritis,LGN,47,17,0.42180736,0.4068530225,0.730522983,0.07023036699999996,-0.734668335419274,-0.8973717146433041,-0.5344180225281602,8.4373913603804e-06,5.06243481622824e-05,True,LGN higher
GSE130823,gastritis_subtypeB,Gastritis,HGN,47,14,0.42180736,0.4068530225,0.698675811,0.2000680482499999,-0.5866261398176291,-0.8054711246200608,-0.3373100303951365,0.0009616604165690079,0.0028849812497070237,True,HGN higher
GSE130823,gastritis_subtypeB,GC,Gastritis,16,47,0.6466343625,0.1395832885,0.42180736,0.4068530225,0.5106382978723405,0.2526595744680851,0.7420212765957447,0.002495787134916648,0.004991574269833296,True,GC higher
GSE130823,gastritis_subtypeB,GC,LGN,16,17,0.6466343625,0.1395832885,0.730522983,0.07023036699999996,-0.44852941176470584,-0.7647058823529411,-0.08088235294117647,0.02930750117068202,0.04396125175602303,True,LGN higher
GSE130823,gastritis_subtypeB,HGN,LGN,14,17,0.698675811,0.2000680482499999,0.730522983,0.07023036699999996,-0.32773109243697474,-0.6974789915966386,0.08403361344537816,0.12645617291148628,0.15174740749378354,False,LGN higher
GSE130823,gastritis_subtypeB,GC,HGN,16,14,0.6466343625,0.1395832885,0.698675811,0.2000680482499999,-0.1160714285714286,-0.5446428571428571,0.32142857142857145,0.6033201802180682,0.6033201802180682,False,HGN higher
GSE55696,gastritis_subtypeA,Gastritis,LGN,19,19,0.342886923,0.16107930400000003,0.134064699,0.23020017750000002,0.6011080332409973,0.26301939058171747,0.8670360110803325,0.0016158370842358247,0.009695022505414947,True,Gastritis higher
GSE55696,gastritis_subtypeA,Gastritis,HGN,19,20,0.342886923,0.16107930400000003,0.0929314485,0.2755254905,0.5157894736842106,0.15250000000000005,0.8263157894736842,0.006153018801181023,0.01845905640354307,True,Gastritis higher
GSE55696,gastritis_subtypeA,EGC,Gastritis,19,19,0.260353788,0.400024628,0.342886923,0.16107930400000003,-0.23545706371191133,-0.590027700831025,0.13033240997229967,0.22013117868669163,0.43853483988527975,False,Gastritis higher
GSE55696,gastritis_subtypeA,EGC,HGN,19,20,0.260353788,0.400024628,0.0929314485,0.2755254905,0.17368421052631589,-0.2,0.5368421052631579,0.3611525260691233,0.43853483988527975,False,EGC higher
GSE55696,gastritis_subtypeA,EGC,LGN,19,19,0.260353788,0.400024628,0.134064699,0.23020017750000002,0.17451523545706382,-0.20789473684210522,0.5512465373961218,0.3654456999043998,0.43853483988527975,False,EGC higher
