gene,logFC,P.Value,adj.P.Val
ITIH4,-0.621410961939048,2.21547242983539e-07,3.699066378348472e-06
KIT,-0.865634981804473,2.24521557202162e-07,3.7404985958373794e-06
TCTN2,-1.22098604821485,2.26516213481354e-07,3.7618951006734623e-06
LOC200261,-1.03394997376608,2.34349308775348e-07,3.8756654396679385e-06
LOC727869,-0.553550089517767,2.35412175369331e-07,3.888866222458628e-06
FIGNL2,-0.637948199142389,2.42865296575354e-07,4.005233072815097e-06
HS6ST3,-0.558515872998743,2.44536432748575e-07,4.026014949924438e-06
PLA2G6,-0.508543621617409,2.45006923129288e-07,4.0292464784127114e-06
RCAN2,-0.62305608253192,2.66512048141139e-07,4.3512533726509965e-06
LOC100129794,-0.717057868264809,2.70019301119792e-07,4.391437311183424e-06
LOC100507305,-0.926945148036875,2.73710610655497e-07,4.439187321161007e-06
SBK2,-1.18616987035823,2.86888669944493e-07,4.627378832233129e-06
NNT,-0.504539427147678,2.93756829083343e-07,4.727779678587779e-06
CXorf57,-0.824537416305207,2.94186756544732e-07,4.7321074993632104e-06
PPARGC1A,-0.920003080351107,2.96050449381496e-07,4.755929360030575e-06
SNORA70F,-0.581420880658167,3.05874578960661e-07,4.88688016830029e-06
RAB7B,-0.681243004359043,3.07165663761038e-07,4.899698110802167e-06
PRR21,-1.06908356284801,3.0930265403564e-07,4.926713494200211e-06
BMPER,-0.527905662038263,3.24355157048767e-07,5.122057686915188e-06
OTUD6A,-0.854971936049166,3.25413076705374e-07,5.1332471810078e-06
LOC100507673,-0.898961059888927,3.25904813558328e-07,5.135490970966296e-06
NGFRAP1,-0.714057989568502,3.29533248218759e-07,5.184327140606472e-06
CSMD3,-0.920430611171781,3.31107171375695e-07,5.203517407694612e-06
MT1E,-0.730737925352145,3.50196325637763e-07,5.485911310150628e-06
C11orf9,-0.542465968669907,3.52860764538507e-07,5.5240951427038324e-06
SCARNA13,-0.641537147252343,3.53024734564447e-07,5.5240951427038324e-06
STK32B,-0.899910836280645,3.53197726049425e-07,5.5240951427038324e-06
SCGB3A2,-0.928176387673569,3.60338070223325e-07,5.620814866095051e-06
LHFPL5,-0.938873748144605,3.61042452824369e-07,5.628814643820984e-06
LOC100507417,-1.27671506506055,3.64632673053463e-07,5.672750130066263e-06
RORC,-0.535592668861174,3.65809798354584e-07,5.683797217749284e-06
C8orf71,-0.679767080746316,3.67433152983307e-07,5.70122782464278e-06
SCARNA16,-0.78804818114923,3.68446417132914e-07,5.7139331433784044e-06
LOC100192426,-0.862343844561436,3.6882408061772e-07,5.71677324957466e-06
PRSS23,-0.639085991779224,3.70231213413404e-07,5.732536828131252e-06
LOC653061,-0.66641622777001,3.80481651276301e-07,5.866524012438581e-06
SORBS1,-0.62618744853165,3.81234084473935e-07,5.875043143429472e-06
C22orf45,-0.67178516490187,3.82172202131981e-07,5.8864133523347265e-06
MUC21,-1.21151757448101,3.83319103613335e-07,5.8992668987067766e-06
FOXA1,-0.525201214708521,3.87044995973463e-07,5.943975586696476e-06
XLOC_005542,-0.821820981075467,3.87122950623964e-07,5.943975586696476e-06
SNORD116-4,-0.675367384233105,3.92795670742758e-07,6.02163754396879e-06
ADM,-0.776529728693653,4.01638607707637e-07,6.137990329335432e-06
SNORA42,-0.664653074521904,4.10480566073584e-07,6.2568479646112485e-06
XLOC_006315,-1.12206655054626,4.1727097089263e-07,6.343900306566275e-06
FAM127C,-0.736942850671855,4.23606538848526e-07,6.423606276408918e-06
ADA,-1.15826585259506,4.25604838858643e-07,6.447255156895773e-06
SCPEP1,-0.553511253707763,4.2768518383569e-07,6.472096901422893e-06
XLOC_006522,-0.893946856632303,4.33630552052821e-07,6.541855576862579e-06
NECAB3,-0.529462647731372,4.43375371993104e-07,6.664918379607847e-06
OR12D2,-1.24355255428449,4.46385113459472e-07,6.706730937805196e-06
SCTR,-1.00295636866714,4.51113343419564e-07,6.767390983366078e-06
SATB1,-0.636396343271381,4.53376295228643e-07,6.794402123497889e-06
ZNF595,-0.587630487577595,4.6055345478125e-07,6.887910905400191e-06
XLOC_l2_008008,-0.563711718656965,4.76918936600775e-07,7.096553776619532e-06
ALDH1L2,-0.637188105282779,4.81353190144229e-07,7.155289606453516e-06
LOC100289134,-1.10003144948629,4.84347197013161e-07,7.18888657869837e-06
C4orf39,-0.716508922936681,4.85649721156264e-07,7.2045805175872225e-06
RFESD,-0.573260573744,4.87174291321949e-07,7.223550995645528e-06
SCNN1B,-1.60171753898523,4.88230650517612e-07,7.235563468185367e-06
XLOC_003062,-1.08358731688321,5.10467061535857e-07,7.523373121572601e-06
XLOC_l2_011426,-0.64035073267185,5.14576853937459e-07,7.5763449817204636e-06
ADCY1,-0.891765132381062,5.2010535716308e-07,7.646251243776185e-06
MITF,-0.575126629430015,5.32180392242649e-07,7.800357789140632e-06
ZNF157,-0.870329652589946,5.32662037423092e-07,7.803525401689845e-06
TMEM121,-0.557678815678933,5.52212801088565e-07,8.05781022760216e-06
WDPCP,-0.546983663380911,5.5436424735222e-07,8.085189330613917e-06
SLC26A9,-1.66460190745411,5.55447302336959e-07,8.09696692513817e-06
NEBL,-0.852803378699128,5.62938290104246e-07,8.185863666295686e-06
LINC00087,-0.684961718107349,5.66347550499159e-07,8.231365882329025e-06
FMOD,-0.828039033556731,5.81630102543925e-07,8.428474089527055e-06
GPIHBP1,-0.627877671749464,5.82143718410148e-07,8.431759288633528e-06
SARDH,-0.733720491614247,5.9765530321932e-07,8.630906167572176e-06
PGC,-1.65229130142955,6.00242170846103e-07,8.664006344216736e-06
FGL1,-0.985314658688518,6.1095104489873e-07,8.796976632770151e-06
Q8WY88,-0.540361143191922,6.12606738633155e-07,8.812181514905118e-06
LOC553137,-0.58593311900151,6.17367655892021e-07,8.858984702809919e-06
PNPLA1,-0.647075791603549,6.18045183981842e-07,8.864378656348644e-06
NT5M,-0.545639949395635,6.23927789756966e-07,8.944385309940349e-06
ZNRF3,-0.651744586670275,6.37944630907807e-07,9.127515488373239e-06
BEX5,-0.688430629587442,6.53687490718132e-07,9.316473315821756e-06
KCNQ1,-0.619770746944364,6.58631091404381e-07,9.382380278328623e-06
XLOC_007928,-1.05075880512869,6.78917650303786e-07,9.634008646609205e-06
LOC93444,-0.970245847510346,7.07727684181658e-07,9.994570486655726e-06
FLJ46875,-0.658659182771498,7.17105737213535e-07,1.011242965702081e-05
XLOC_009868,-0.51693030842272,7.19953143296377e-07,1.0142848981396898e-05
IRX3,-1.02628169007661,7.22033526999458e-07,1.0158980974447427e-05
C16orf47,-0.565255351031126,8.01430068132529e-07,1.1156999925286007e-05
SERPIND1,-0.720169753438478,8.03352024843207e-07,1.117846084568758e-05
XLOC_l2_000080,-0.746200334160757,8.10346220548009e-07,1.1254468208631799e-05
XLOC_010271,-0.806435582137788,8.19502876931366e-07,1.136281966201139e-05
PNPLA7,-0.611680312248592,8.32203333608807e-07,1.1509078384986174e-05
GRAMD1A,-0.597613397277716,8.50991694840246e-07,1.1697354503257788e-05
XLOC_005514,-0.744028660352143,8.628057773309e-07,1.183207474764372e-05
XLOC_007437,-0.885775049420877,8.72168727807168e-07,1.1938190299393133e-05
RXFP4,-1.46414469032075,8.77569113473758e-07,1.1995349351984559e-05
XLOC_002243,-1.12455443061241,8.97509553064128e-07,1.2239448141739486e-05
AFM,-0.951019666430425,9.02986248954704e-07,1.2308422951892784e-05
GABRB3,-0.747117447303892,9.11550622100928e-07,1.2396413550348022e-05
SNORA2B,-0.575536757094965,9.33082988580616e-07,1.2665793472705377e-05
EEF1A2,-1.53259428618452,9.4588139626765e-07,1.280993662373903e-05
XLOC_007653,-1.25001493861895,9.53635397014096e-07,1.2891185394411341e-05
FILIP1L,-0.587059662518323,9.57386576712892e-07,1.2928249137995284e-05
LRFN2,-0.813235421561269,9.60398716488133e-07,1.294939346597793e-05
XLOC_003485,-0.610709726203132,9.65180168480373e-07,1.3005371293581479e-05
XLOC_009038,-0.821763262341248,9.77794200148175e-07,1.3121194499522633e-05
CA4,-0.958085905615583,9.82300857090337e-07,1.3163637751103888e-05
ABCC8,-0.935812201811783,1.05311624706995e-06,1.3985079199679933e-05
SP5,-0.798768019806193,1.05968988519745e-06,1.4046985271169446e-05
FAM124B,-0.750992729897373,1.06115341693875e-06,1.4060043560412978e-05
SNORA12,-0.710401594888971,1.06519745435934e-06,1.4107265790316487e-05
PMM1,-0.546640314525174,1.06847183198851e-06,1.4137888427950621e-05
CCDC169,-0.620495261371645,1.07914932291559e-06,1.4265684783721343e-05
XLOC_l2_009136,-0.738339124700528,1.09471909238608e-06,1.4439678943914775e-05
IP6K3,-0.882412257988327,1.13683812089474e-06,1.4935965788218555e-05
LOC100506844,-0.552249117438506,1.13691831591959e-06,1.4935965788218555e-05
LOC728606,-0.924258336463687,1.15280979119605e-06,1.5124452742709607e-05
EGFL8,-0.564608995048559,1.18211003933273e-06,1.5460547323502568e-05
ALOX15B,-0.729849061021309,1.18905837203846e-06,1.554450508784086e-05
DKFZP761C1711,-0.915125321796623,1.20287408337413e-06,1.5711139360977303e-05
ZNF167,-0.548474421457505,1.20988846549914e-06,1.578171425836162e-05
NALCN,-0.622288337783128,1.22818641402247e-06,1.6006182853788184e-05
MRAS,-0.62222285202852,1.24029773108712e-06,1.614054061302711e-05
ANKRD29,-0.677542814120112,1.24232772721151e-06,1.6154658074022946e-05
LOC375190,-0.527882334649094,1.26397705697816e-06,1.6407136815580465e-05
SNX22,-0.809371544274326,1.31516570622425e-06,1.7026471266307604e-05
SNORD107,-0.668948422809501,1.34352719568691e-06,1.7355418561251392e-05
KIAA0895,-0.747705413680436,1.36915807731236e-06,1.7663221060603877e-05
CHST11,-0.624581496001486,1.37077845765466e-06,1.767636564877365e-05
XLOC_006924,-0.757678809089173,1.38746643593887e-06,1.786021183502913e-05
XLOC_006712,-0.859329564967665,1.43013105729983e-06,1.8326197784193832e-05
CNTN3,-0.79954839715788,1.45418647242163e-06,1.8563081624184887e-05
ERC2,-0.671983082426037,1.45725273632902e-06,1.858756224619672e-05
LOC728503,-0.883985696813676,1.49553239059815e-06,1.90098208887969e-05
TF,-1.22746267909589,1.49818915967954e-06,1.903535798731618e-05
XLOC_002997,-0.756322717797548,1.51526545009759e-06,1.922738387196372e-05
XLOC_001365,-0.701268706143224,1.52191596170672e-06,1.9303438188449326e-05
HOXC13,-0.745101067468432,1.56285060603567e-06,1.9762931846031095e-05
PIK3C2G,-0.528733334180334,1.58525366947452e-06,2.0028991762045225e-05
OR10G4,-1.31588765289682,1.5991674771619e-06,2.0152801809105452e-05
ZNF783,-0.699522725370642,1.623971468845e-06,2.0447846412346555e-05
CAPS,-0.554193339436233,1.64461634415428e-06,2.0645871474586064e-05
CHRM2,-0.627923638448772,1.69854247219547e-06,2.1214095271092424e-05
XLOC_011023,-1.08276871967332,1.79309955187958e-06,2.221568702809321e-05
MOGAT1,-0.733359930767557,1.80308509162384e-06,2.2329989326861108e-05
MMP19,-0.587763202087154,1.85332797597004e-06,2.2880836245538783e-05
SYPL2,-0.848084263155728,1.88672446100568e-06,2.3219036206044774e-05
CSRP2,-0.807347187623387,1.90796089461905e-06,2.3411755645538468e-05
LOC100507423,-0.955453609040858,1.91222114455041e-06,2.3444453481872114e-05
XLOC_005176,-0.654706506493917,1.96070228592107e-06,2.3978825958655183e-05
MXI1,-0.516910167900225,2.01227251460441e-06,2.4538035128296432e-05
RNF152,-1.05341065434226,2.01335185840502e-06,2.454101385931428e-05
CNFN,-0.810970013908749,2.03876337146452e-06,2.4789068250144525e-05
CHGA,-0.897275103962251,2.10851672289261e-06,2.5563155714673278e-05
SCNN1G,-1.3506785877989,2.11331678238826e-06,2.5610784990031413e-05
KANK4,-1.08933936207801,2.14186861176646e-06,2.5924726014247416e-05
CFC1,-0.8655194229766,2.16530386781714e-06,2.616527552113902e-05
ProSAPiP1,-0.568233877769679,2.17134549233104e-06,2.6227497463470863e-05
TPM2,-0.846944753673534,2.18140658114792e-06,2.6327382590051366e-05
XLOC_014068,-0.749421502144682,2.19260903742042e-06,2.644086762072684e-05
XLOC_013413,-0.690839398618786,2.20073474685718e-06,2.6527970771385894e-05
LAMB4,-0.518803241939271,2.20516151973747e-06,2.657043326857104e-05
RDH12,-1.27755677753299,2.270228349588e-06,2.7237537605688184e-05
XLOC_010151,-0.719177243044745,2.27063565725051e-06,2.7237537605688184e-05
LINC00319,-0.871433513350532,2.29969951863147e-06,2.7528948860913095e-05
FAM13A,-0.577797710364493,2.33876455950096e-06,2.7962413700005782e-05
SLC10A1,-0.984280215963627,2.34033695846691e-06,2.7969834296635035e-05
WISP2,-1.04804330531698,2.35052726674797e-06,2.804599890994289e-05
ZNF345,-0.510983337341468,2.41809257321073e-06,2.872389027547168e-05
XLOC_002411,-0.860182862779012,2.44104379815491e-06,2.891165624879737e-05
ZBTB10,-0.526883925228865,2.45048132475114e-06,2.8979776729089136e-05
IGDCC3,-0.681904193206013,2.554434493259e-06,2.995599396963108e-05
XLOC_002935,-0.772457283979897,2.58322710053535e-06,3.025742448407049e-05
