gene,logFC,P.Value,adj.P.Val
BST1,1.14412684510917,2.21656999192584e-07,3.699066378348472e-06
C20orf54,0.556549113388694,2.22065990749765e-07,3.7037884995199168e-06
PSRC1,0.558012769815224,2.33110442154397e-07,3.863874604643778e-06
INCENP,0.633368273326651,2.33597142858529e-07,3.8673756516567854e-06
LDLR,0.55530367772932,2.34804913581019e-07,3.88101619815466e-06
HIST1H2BF,0.918374361716961,2.55790560834292e-07,4.192247767230869e-06
NCAPG2,0.69651490586074,2.55917125847699e-07,4.192247767230869e-06
CENPM,0.909053954553063,2.56993436904948e-07,4.207533773683906e-06
PLA2G4F,0.617274005990796,2.59131778981517e-07,4.237821213527447e-06
GBP3,0.935951282499339,2.63358040863562e-07,4.304541771356151e-06
LOC439911,0.5833191526895,2.6590596500725e-07,4.3437712616081515e-06
SLC7A4,1.05362834697926,2.67480173899951e-07,4.364634842072049e-06
BRCA1,0.719483820536809,2.67777522967778e-07,4.365476287303325e-06
KCNE3,0.944855684485426,2.69640388136992e-07,4.387703060116235e-06
ECM1,0.661548987451518,2.70789356613944e-07,4.401525227970456e-06
CLDN12,0.586233272959983,2.73672136196885e-07,4.439187321161007e-06
FAM64A,0.964533586897756,2.75863961182273e-07,4.4716437348177825e-06
HIST1H2BE,0.78037908781172,2.79170337290323e-07,4.516101943608734e-06
SOCS3,1.15219376585229,2.79705791030207e-07,4.521448727610408e-06
STAT5A,0.53423154665537,2.82816114044617e-07,4.569213831524576e-06
HS1BP3,0.534904414317968,2.86090724999739e-07,4.619579245215565e-06
LY6E,0.791158891471145,2.88789657632621e-07,4.653689796693819e-06
ERBB3,0.515076440915424,2.91089087148722e-07,4.687411557877612e-06
HIST1H2AL,0.897611355663433,2.96183175191751e-07,4.755929360030575e-06
FAM83H,0.58863812316748,2.99458487521543e-07,4.795905194159731e-06
BORA,0.52854887563503,3.00199160441041e-07,4.80514865307261e-06
CDCA4,0.691860911497688,3.00778847613336e-07,4.809188669021065e-06
TAP1,0.738020143447104,3.05970447450406e-07,4.88688016830029e-06
PNPLA3,0.849796174309594,3.07934256002921e-07,4.907576960636575e-06
BCL11B,0.619210426737936,3.13580160036078e-07,4.981347969265006e-06
CHST6,1.39554982493383,3.17772107012852e-07,5.034332442530293e-06
MND1,0.778828180268179,3.22450814648975e-07,5.100206964964519e-06
TPX2,0.778832632394445,3.22788879314005e-07,5.1028077381818076e-06
DLGAP5,0.868414055773312,3.2331593017578e-07,5.108391696777324e-06
PITX1,0.717009650869794,3.25369059884902e-07,5.1332471810078e-06
PRR19,0.622063503287018,3.26876845402764e-07,5.148047552356071e-06
ZNF695,0.668319166698065,3.30500114379414e-07,5.196756212617559e-06
TUBB4B,0.520437932984197,3.36671333456962e-07,5.2853083053596154e-06
LRRC3,0.541354150889488,3.45851456961473e-07,5.423629998497208e-06
CCNB2,0.828580757409623,3.56874391524103e-07,5.5786301160161375e-06
CDC42EP2,0.700451418047693,3.63658184766683e-07,5.6616168121289656e-06
EPB41L2,0.656349982130982,3.63724395715921e-07,5.6616168121289656e-06
BUB1B,0.863026114213628,3.64887869855818e-07,5.6737167827104655e-06
HPSE,0.794935485712536,3.6592297318571e-07,5.683797217749284e-06
GK5,0.56769391543434,3.74255468077338e-07,5.785702101976228e-06
F2RL1,0.507436808559396,3.79168482162251e-07,5.850161909998774e-06
LOC100505592,0.937710811218943,3.79221397800043e-07,5.850161909998774e-06
MCTP2,0.5513888124734,3.86916495480697e-07,5.943975586696476e-06
SLC5A1,1.53934130292525,3.96762840407392e-07,6.0758992096785205e-06
ACAA2,0.701059947754626,3.9695544040366e-07,6.0758992096785205e-06
CENPL,0.704064426017794,4.00200909705834e-07,6.119201006469849e-06
MCM10,0.850991411937704,4.1292350390917e-07,6.284306542145358e-06
TP53INP2,0.589494201785237,4.26236418911493e-07,6.453496073658401e-06
MYEOV,1.03198768524153,4.33616072683804e-07,6.541855576862579e-06
C19orf28,0.535000417442827,4.33896647232725e-07,6.542511374487082e-06
ACY3,0.77293277690216,4.48394080663303e-07,6.733472275183009e-06
FAM135A,0.510668341231568,4.57926734988456e-07,6.855604120143018e-06
CXCL3,1.5637658944744,4.71324221356895e-07,7.031104678800218e-06
TAF5,0.509566011105101,4.71665684980376e-07,7.0326286911229276e-06
CCDC68,0.875846056882657,4.76197670221934e-07,7.089410908045693e-06
GUCY2C,1.98734201150958,4.92927988622729e-07,7.2978174960426995e-06
XLOC_001728,0.68260782554429,4.99020918690033e-07,7.376874626993305e-06
QPCT,0.933195048751677,4.99657307867701e-07,7.382568609158369e-06
LINC00152,0.762952634643769,5.06167341851219e-07,7.467492892732743e-06
HERC6,0.695028688362955,5.0934955184293e-07,7.5106696585850615e-06
DSCC1,0.810857801375342,5.14427417094065e-07,7.5763449817204636e-06
CMTM1,0.534248637731111,5.31877902677498e-07,7.799814273396363e-06
GK,0.612247575285585,5.34232818943644e-07,7.822637809225616e-06
PTTG1,0.782701250113852,5.35352021547619e-07,7.83512211615609e-06
KLHL23,0.704168356771592,5.45701570072912e-07,7.982617093729586e-06
MCM4,0.6869516256629,5.48986449216098e-07,8.022682133049571e-06
PRSS2,0.885005213396531,5.51520447910629e-07,8.055707218289048e-06
EPSTI1,0.881156969300545,5.52114329776848e-07,8.05781022760216e-06
NUP62CL,0.788188402760539,5.57723011091347e-07,8.126109990060737e-06
B3GNT8,0.887529456836194,5.5844097642454e-07,8.132538857861438e-06
RACGAP1,0.652996513261073,5.61835643315609e-07,8.17387420087085e-06
MFHAS1,0.588668406470432,5.7987979922428e-07,8.410783191994318e-06
LIF,0.543723117930391,5.91567127214365e-07,8.5598103075213e-06
CDHR2,1.04297974839985,5.97243175123891e-07,8.629194901937515e-06
CASC5,0.517115191530649,6.14148184646835e-07,8.827605315919868e-06
TMEM54,0.508365331829754,6.14445845029717e-07,8.827605315919868e-06
