"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","term_type"
"72","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","19/1989","50/18860",0.38,3.60321769733534,6.32859642464752,3.05774164997486e-07,2.46546128106192e-05,1.96736023679709e-05,"SPC25/SKA1/BUB1/MAD2L1/SKA3/NUF2/BIRC5/BUB1B/TRIP13/CDC20/CDCA8/ZWINT/CCNB1/SPC24/ZWILCH/CENPF/INCENP/GEN1/FBXO5",19,"BP"
"73","GO:2000816","negative regulation of mitotic sister chromatid separation","19/1989","50/18860",0.38,3.60321769733534,6.32859642464752,3.05774164997486e-07,2.46546128106192e-05,1.96736023679709e-05,"SPC25/SKA1/BUB1/MAD2L1/SKA3/NUF2/BIRC5/BUB1B/TRIP13/CDC20/CDCA8/ZWINT/CCNB1/SPC24/ZWILCH/CENPF/INCENP/GEN1/FBXO5",19,"BP"
"74","GO:0045787","positive regulation of cell cycle","68/1989","349/18860",0.194842406876791,1.8475252859207,5.48727526032074,4.04165042918124e-07,3.21475059812983e-05,2.56526944736937e-05,"HOXA13/RRM2/EDN3/ANXA1/SKA1/OVOL1/FAM83D/BUB1/MAD2L1/RAD51AP1/ESPL1/CCND2/SKA3/PLK4/NCAPG/KIF14/BIRC5/CDC25B/DLGAP5/KIF23/AURKA/CDC25A/CDC20/ECT2/SPAG5/TBX3/GPSM2/MSX1/CHEK1/FEN1/CDCA8/UBE2C/CDC6/CCNB1/STIL/NCAPG2/KIF20B/NUSAP1/RACGAP1/LEF1/INCENP/DTL/PKP3/CYP1A1/EZH2/MSX2/GEN1/CCNE2/ATAD5/TNF/CHEK2/BRCA2/MEIS2/STAT5A/EREG/POC1A/FBXO5/SVIL/E2F7/BRD4/FOXA1/EDN1/ASNS/BCL2L11/OPN1MW/NUPR1/EGFR/SMARCD3",68,"BP"
"75","GO:0007059","chromosome segregation","80/1989","434/18860",0.184331797235023,1.74786208941807,5.41199216259253,4.39760458773426e-07,3.45124008045384e-05,2.75398058532916e-05,"SPC25/SKA1/TEX11/CDCA2/FANCD2/TOP2A/FAM83D/KIF18A/MYBL2/BUB1/MAD2L1/ESCO2/ESPL1/CENPK/SKA3/KIF4A/CENPE/KIFC1/NUF2/OIP5/NCAPG/NEK2/CENPM/KIF14/CENPW/BIRC5/DLGAP5/KIF23/BUB1B/ASPM/AURKA/HJURP/TRIP13/CDC20/TACC3/ECT2/CCNB2/SPAG5/KIF15/GPSM2/MKI67/PTTG1/TPX2/MND1/CDCA8/UBE2C/KIF11/ZWINT/BRCA1/CDC6/CENPL/CCNB1/STIL/NCAPG2/SPC24/UHRF1/ZWILCH/CENPF/CENPI/NUSAP1/RACGAP1/PRC1/INCENP/CDT1/KIF22/GEN1/CENPO/DIAPH3/KIF2A/CCNE2/PSRC1/CHEK2/BRIP1/FBXO5/RCC1/ZCWPW1/BEX4/SYCP2/REC8/SMARCD3",80,"BP"
"76","GO:1905818","regulation of chromosome separation","24/1989","76/18860",0.315789473684211,2.99436373739779,5.98168355968638,5.04665169892451e-07,3.90849893419338e-05,3.11885870922454e-05,"SPC25/SKA1/BUB1/MAD2L1/ESPL1/SKA3/NUF2/NCAPG/BIRC5/DLGAP5/BUB1B/TRIP13/CDC20/CDCA8/UBE2C/ZWINT/CCNB1/NCAPG2/SPC24/ZWILCH/CENPF/INCENP/GEN1/FBXO5",24,"BP"
"77","GO:0009636","response to toxic substance","56/1989","270/18860",0.207407407407407,1.96666852876003,5.4932084072039,5.3450099561205e-07,4.08580890931497e-05,3.26034646947501e-05,"CPS1/ADH4/FABP1/SLC6A14/APOA4/GUCY2C/CLDN1/PDZK1/LCN2/S100A9/ABTB2/AQP9/DHFR/SLC30A10/RAD51/ABCG2/DDC/LYN/BAK1/CCNB1/GCH1/CCL3/ASS1/CYP1A1/SRF/KDM6B/TNF/MUC2/SESN2/NNT/SOD3/GSTM3/EDN1/ALAD/MT3/GPX3/SLC18A2/MT2A/PON3/ABCC5/ALDH1A1/MT1E/MT1H/MT1B/PTPN13/GSTM2/NEFL/MT1X/NUPR1/MT1M/MT1G/MT1F/DUOX1/RDH12/DHRS2/ALB",56,"BP"
"78","GO:0070328","triglyceride homeostasis","18/1989","47/18860",0.382978723404255,3.63146240492924,6.20188030320966,5.45293558917958e-07,4.11486908691167e-05,3.28353557340341e-05,"APOC3/ABCG5/ABCG8/APOC2/NR1H4/MLXIPL/IL18/FITM2/PLA2G12B/SCARB1/HNF4A/SESN2/RORA/GPIHBP1/C1QTNF3/APOC4/ANGPTL3/APOA5",18,"BP"
"79","GO:0008202","steroid metabolic process","67/1989","345/18860",0.194202898550725,1.84146137087314,5.41611880193809,5.55527079800323e-07,4.13902834393e-05,3.30281389749373e-05,"APOA4/PCSK9/NR1I2/DHRS9/SLC27A2/PCK1/CFTR/NR1H4/HSD17B11/CYP3A4/SPP1/HSD17B2/AGT/UGT2B7/GAL/CLCN2/ACOX2/SULT4A1/AKR1C4/SULT2B1/STARD4/NPC1L1/CYP27B1/APOB/APOL1/NR5A2/MSMO1/ACAA2/HSD11B2/CYP2D6/SQLE/CYP1A1/SULT1A4/MVD/APOBR/SCARB1/SNAI1/SULT1C3/APOL2/LDLR/TNF/STAT5A/UGT1A8/INHBA/CH25H/GFI1/ABCA2/RORA/AFP/RORC/INSIG1/ADM/GNAI1/KIT/TM7SF2/CYP7B1/GC/PRKAA2/PDE8B/ANGPTL3/APOA5/CYP2C8/ACADL/DHRS2/SCNN1B/LEPR/SULT2A1",67,"BP"
"80","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","19/1989","52/18860",0.365384615384615,3.46463240128398,6.1106699400789,6.24113765035433e-07,4.50871752810552e-05,3.59781419074822e-05,"SPC25/SKA1/BUB1/MAD2L1/SKA3/NUF2/BIRC5/BUB1B/TRIP13/CDC20/CDCA8/ZWINT/CCNB1/SPC24/ZWILCH/CENPF/INCENP/GEN1/FBXO5",19,"BP"
"81","GO:1905819","negative regulation of chromosome separation","19/1989","52/18860",0.365384615384615,3.46463240128398,6.1106699400789,6.24113765035433e-07,4.50871752810552e-05,3.59781419074822e-05,"SPC25/SKA1/BUB1/MAD2L1/SKA3/NUF2/BIRC5/BUB1B/TRIP13/CDC20/CDCA8/ZWINT/CCNB1/SPC24/ZWILCH/CENPF/INCENP/GEN1/FBXO5",19,"BP"
