"","CD4+ naive T-cells","CD8+ T-cells","Chondrocytes","CMP","DC","Endothelial cells","Epithelial cells","Erythrocytes","HSC","iDC","Keratinocytes","ly Endothelial cells","Macrophages M1","Mast cells","MEP","Mesangial cells","mv Endothelial cells","Myocytes","Neurons","Neutrophils","NKT","pDC","Pericytes","Preadipocytes","pro B-cells","Sebocytes","Skeletal muscle","Tgd cells","Th2 cells","StromaScore","id","Group"
"1",0,0.0154495728106716,0.0188769798750999,0.0357472095230108,0.0562246655794163,0.113760395723013,0.0130643538242629,0.0358225973664314,0.0260127511473773,0.0660583544347357,0.0459663114719862,0.115683273878906,0.0239665734513991,0.0199237464335798,0.0113897965136288,0.0540453313977756,0.0485762866543725,0.0395526201481238,0.049625704968892,0.0305598057244113,0.00685699092703362,0.0340207538953044,0.0109724500402173,0.00147999139735679,4.4017271846472e-18,0.0252601680607287,0.046319804967433,0.0162055140835987,0.0587326829021995,0.0709410209285227,"GSM3754774","subtypeA"
"2",0.00967340666123788,0.0368957628608813,0.0126684057321041,0.0252189007944129,0.158577699491468,0.0857308672074078,0.00196355773335447,0.00598496335067233,0,0.156527036219566,0.0734565471304665,0.0811884164061881,0.0639846735807362,0.0125531176192517,0,0.0491557861549516,0.0359928876134934,0.0241152710638244,0.0528567405698124,0.107360917047438,5.02099187583491e-18,0.0786504108947908,0.017320859591687,0.02524635432579,0.0103650008848552,0.0950919245414404,0.014305260357611,0.049960083046028,0.136360111192595,0.0442133745690774,"GSM3754776","subtypeB"
"3",1.95962702492035e-18,0,0,0,0.0854135347606028,0.0465604851486664,0.0285060996782691,0.0871670057083478,2.23763074823021e-18,0.0895701971685352,0.100506222809833,0.0415497741996851,0.0634170846450731,0.00508423698192839,0.0110197331924568,0.0837387936535583,0.0282442809203094,0.0274229832463882,0.0427867572165907,0.0793394817938006,3.00333654495341e-19,0.0496391468500162,0.014022755686457,0.0102598815749922,0.00753262722433723,0.0947339797243521,0.0169562534505944,0.0221586765132995,0.128579973169538,0.0403595603438117,"GSM3754778","subtypeB"
"4",0.0245311056280261,0.0481396818298477,0.00806296704295834,0.0151936180512068,0.142202256867458,0.0977414888127089,0,0,0.00298748280964606,0.106837668699117,0.041959456360162,0.0972335076050366,0.0554290401365417,0.016845440677104,0.0035449788403986,0.0622691696678401,0.0439994847879808,0.0204821693220961,0.0441406940641356,0.0378175860190385,1.77550383453398e-19,0.0866338450279303,0.00218061514739974,0.0061582302635674,0.0251444837797573,0.0397769955944635,0.0152143742620567,0.0317339342604243,0.113871272820826,0.0508912645599474,"GSM3754780","subtypeA"
"5",0,0.032921041955426,2.90251537629549e-18,0.00256310856403876,0.00595940441719375,0.0498509902180856,0.0455391673982601,0.0882873063091377,1.01780019276421e-18,0.00492109769399942,0.0877277393115892,0.0469966505865768,0.0119399066027044,0.0195998478207837,0,0.0578782156027251,0.0250196148646172,0.00970009310263347,0.0271505033777041,0.0319575158337791,0,0.0622212334401984,0.00772943353730392,8.94671801478799e-20,7.39696693948529e-20,0.0572488388164128,0.023221971039394,0.0352495181580018,0.0625538830862141,0.0273908903967281,"GSM3754782","subtypeB"
"6",0.00357596876245312,0.0428967689715722,0.0243590777525003,0.00249271821965015,0.0049685455920357,0.0711004681312905,0.01695336962089,0.028938343391613,0.0101526387649952,0.0143812032989447,0.0130015401703842,0.0770524090410908,0.0167155931766124,0.0171223717866265,0.0203018723692322,0,0.0318690349355182,0.0696292795804477,0.0609248475700148,1.42952464274671e-18,0.0263425016661705,0.00983856812276671,0.00474456127078277,0,0.0126003147920767,0.0224589118477101,0.0890494105472898,0.00568698574814364,0.0451301398126542,0.0477192666705863,"GSM3754784","subtypeA"
"7",0.0130016197755833,0.0361612766694354,0.0254413044723189,0.017271748296706,0.0578806174944763,0.109616214796085,1.02053997265778e-18,0.0300843556090271,0.0250778961831747,0.0280671205540064,0,0.109800963583877,0.0365506255905207,0.0275634886172362,0.0140089439216801,0.0245446157878308,0.0471144543338318,0.0820287549332962,0.0825172568963001,0.0124815210599545,0.0292218337353586,0.0311547603927629,0.00741883622940425,0,0.00843248313481415,0,0.0840207157010553,0.00333072427577138,0.0558387509782445,0.0744534104479625,"GSM3754786","subtypeA"
"8",1.29678325817041e-18,0.018321931785794,0.00996845834043046,4.84634760910096e-18,0,0.0392418805103255,0.0655505593303511,0.0264568540447181,1.46934087864304e-18,7.04178327038889e-19,0.0728125163213088,0.0463056290113063,0.00765117438972055,0.00214315287304364,7.05393447375644e-18,0.0351187440841019,0.0117576560536185,0.0208550734650825,0.0271542254511631,0.0325912535116511,0.0261816417261602,0.0120379572608692,0.00520782875848307,0.00831298035559276,0,0.0549438590556328,0.0354831047980767,0.0233269528409346,0.0202651574361974,0.0196209402551627,"GSM3754788","subtypeB"
"9",0.0140430810054771,0.0429435670352436,4.12394738388616e-19,0,0.11463233133033,0.0455117333077564,0.0275173357906419,0.0254474515033048,0,0.0651888077708449,0.0471460221693597,0.0681625697497097,0.0445897310338322,0.0112970323668967,0.0239113684710634,0.0375778084829999,0.0226269900155748,0.0367495952371029,0.0467294304280045,0.00739607279687989,0.00259079602834516,0.0499497262772253,0.00133717072967763,0.00243418995390759,0.00987517786139338,0.0496426035424228,0.0472634072765003,0.0367642230185276,0.0902705119513767,0.0291349607485758,"GSM3754790","subtypeA"
"10",0.000570964775228064,0.0276388598028896,0.034607022564289,0.00921505503125806,0.0231025420030143,0.104720704301329,0.0147892439147427,0.0235440959446546,0.0114923601142551,0.0550960032081161,0.0224459322937576,0.101584350692116,0.0124673690117226,0.0155597114317725,0.0281363020397428,0.0121789879071808,0.0536809894708978,0.080600349355776,0.0735087909065225,0.0205108957904756,0.0417915870029395,0.00675787487977585,0.0171860676509731,0,0.011055502250913,0.0305906632147502,0.102130403169037,0.00297745109526784,0.0576333769242201,0.0706984473911276,"GSM3754792","subtypeA"
