,id,gastritis_subtypeB,gastritis_subtypeA,title,source_name_ch1,GSE,Group
57,GSM1341916,0.694559073,0.030338095,HGIN tissue sample 19,HGD,GSE55696,HGN
58,GSM1341917,0.643325696,0.268860245,HGIN tissue sample 20,HGD,GSE55696,HGN
59,GSM1341918,0.691664955,-0.039587967,EGC tissue sample 1,EGC,GSE55696,EGC
60,GSM1341919,0.728389395,-0.010245379,EGC tissue sample 2,EGC,GSE55696,EGC
61,GSM1341920,0.612443445,0.207234514,EGC tissue sample 3,EGC,GSE55696,EGC
62,GSM1341921,0.294246683,0.432604198,EGC tissue sample 4,EGC,GSE55696,EGC
63,GSM1341922,0.654904591,0.148405346,EGC tissue sample 5,EGC,GSE55696,EGC
64,GSM1341923,0.07242645,0.8516107,EGC tissue sample 6,EGC,GSE55696,EGC
65,GSM1341924,0.619831971,0.228552188,EGC tissue sample 7,EGC,GSE55696,EGC
66,GSM1341925,0.742957308,-0.101379968,EGC tissue sample 8,EGC,GSE55696,EGC
67,GSM1341926,0.646082116,0.059441597,EGC tissue sample 9,EGC,GSE55696,EGC
68,GSM1341927,0.510750924,0.329461084,EGC tissue sample 10,EGC,GSE55696,EGC
69,GSM1341928,0.722654236,0.018841512,EGC tissue sample 11,EGC,GSE55696,EGC
70,GSM1341929,0.310754319,0.544181204,EGC tissue sample 12,EGC,GSE55696,EGC
71,GSM1341930,0.468238604,0.260353788,EGC tissue sample 13,EGC,GSE55696,EGC
72,GSM1341931,0.555846675,0.272659876,EGC tissue sample 14,EGC,GSE55696,EGC
73,GSM1341932,0.481634823,0.464396049,EGC tissue sample 15,EGC,GSE55696,EGC
74,GSM1341933,0.463858871,0.446980054,EGC tissue sample 16,EGC,GSE55696,EGC
75,GSM1341934,0.754270276,-0.117161921,EGC tissue sample 17,EGC,GSE55696,EGC
76,GSM1341935,0.302254707,0.445728167,EGC tissue sample 18,EGC,GSE55696,EGC
77,GSM1341936,0.58131971,0.286698266,EGC tissue sample 19,EGC,GSE55696,EGC
78,GSM1479654,0.36475829,0.31550973,Bhutan_normal_97,gastric epithelium in Bhutan Hp-negative normal epithelium,GSE60427,normal
79,GSM1479655,0.533959535,0.304310632,Bhutan_normal_116,gastric epithelium in Bhutan Hp-negative normal epithelium,GSE60427,normal
