gene,logFC,P.Value
XLOC_007767,-0.366806145542488,0.00369460324703968
GAB2,-0.182559869663291,0.00370615266425621
TNFRSF10C,0.625063564132317,0.00370628169486121
RBM23,0.256603366701,0.0037110648652952
PCDHB8,0.373383531596431,0.0037167553223201
POLDIP2,-0.103299569441656,0.00372226142083804
UGT1A6,0.469599554734145,0.00372309871770761
IYD,0.497808585301068,0.00372460590467733
AQP7P3,0.525732184631221,0.00373776456817881
XLOC_012692,-0.386298680679523,0.00374081594237448
XLOC_009272,0.334077276009629,0.00374600862615808
CSPG5,0.207602830422352,0.00374842805929072
PREB,0.163666389860522,0.00375010334555123
EDARADD,0.181583820642004,0.00375126511676818
RG9MTD2,0.191763539689831,0.00375250399977131
IGSF23,0.388992341248672,0.0037541241744643
TPP2,0.165118654581555,0.0037583803256776
CPZ,0.356171544697488,0.00376217649273068
ZP3,0.419334339448133,0.00378421614582825
THOC3,0.25036764307199,0.00379243264609204
TMEM191A,0.292827705251621,0.00379323197494603
XLOC_012237,0.40570865232958,0.00379346837969681
ARNTL2,0.267782748306735,0.00380791944169435
XLOC_013036,-0.515791020372069,0.00381259936165374
C13orf33,0.565591094235265,0.00381675867914861
LOC100129268,0.392405899253054,0.00382040347620781
LOC100507360,-0.213096855076427,0.00382231513250028
SRP14,-0.0846276365338969,0.00383012990804578
IFNG,0.381336460092025,0.00383015306458128
BIN1,-0.139131899865159,0.0038316655037658
ARPC5L,0.159694369778324,0.00383750738391663
CPNE7,0.386675963312436,0.00383864064254311
FZD3,-0.218811342512851,0.00384790387571766
DCX,0.272503710654898,0.00384869597818723
PITX2,0.467658404455096,0.00385114457045277
ZNF767,-0.260949253271813,0.00386548216807101
SNORD116-26,-0.301633470502134,0.00387501690300122
CHMP3,0.145674193630179,0.00387711564059197
FPGT,0.15857630156504,0.00387715495636474
ADAM22,0.27392281909644,0.00387887381063493
XLOC_l2_015885,-0.179191870813444,0.00388035582330226
PRAM1,0.402113137964335,0.00388168742075089
LOC100506866,-0.31535654260643,0.00388452091025818
ANK1,0.197519279703026,0.00388733495271937
FECH,-0.220561611282564,0.0039033895117833
CYP2R1,-0.337421661753231,0.00391480705994616
BTN2A3P,0.302470018355223,0.00391761870818099
MED20,0.163829025429651,0.00391878573077323
SNORA70E,-0.306927899093697,0.00392434421673885
GIPC3,-0.311923864501555,0.00392667708015396
LOC100507136,-0.323667912004031,0.00393431719391317
LOC100652761,0.268860355279689,0.00393543913331146
FBL,0.185075496397181,0.00393902486000445
HBP1,-0.144256841293149,0.00394771010158773
SLA2,0.251988240405725,0.00395585303726127
RICTOR,-0.141311445914733,0.00396194618490951
RBP2,1.86447867980189,0.00396272136542531
MAMLD1,-0.288110119649696,0.00396645538653774
EFNA4,0.172789577127172,0.00396940210779875
TGFB1,0.348799240882466,0.00397067499402237
LAMA3,0.291612298893602,0.00398745506429267
ZAR1L,-0.55889982567549,0.0039876856685501
LOC100507459,-0.339226674484515,0.00398937231023077
EIF2B5,0.138799101089219,0.00399093085788591
TOMM6,-0.150114439231096,0.00399563639990321
GPNMB,0.306671472073488,0.00399626450230181
WNT11,0.454890971190236,0.00399655498959252
FCGR2B,0.499738885959124,0.00399727004055301
VPS37B,0.169541855235094,0.00399878225950717
C8orf75,0.455850080033603,0.00399932319552917
LOC400084,0.410417063076935,0.00400041997562362
ZBTB9,0.20631792787273,0.00400253268245249
XLOC_l2_011255,-0.254678704152819,0.00401103706567821
DPCD,0.179133756655547,0.00401263851840941
ADAMTS17,0.370275123880511,0.00401889330661634
UBE2V2,0.142296469489675,0.00402102648575029
INPP5F,0.186899142497385,0.00402230390424867
CDRT3,-0.30184043785763,0.00402522624051083
NOL7,0.124251493532711,0.00402535929533813
GPI,0.187076914687008,0.00403297923037256
LONP2,0.394550462040529,0.00403507109927259
SLC25A13,0.128221065100026,0.0040351482120745
LHB,-0.260925563423666,0.00403545908795949
SHANK3,-0.372613117683048,0.00404556459029432
SV2A,-0.203070824713092,0.00404662694105155
OR5L2,-0.675910306779757,0.0040503381498717
MGEA5,-0.233439640261311,0.00405205724075638
MARK1,-0.239035938540944,0.0040570114360628
LAG3,0.450242503561054,0.00406075790910438
MARK4,-0.208274857620956,0.00406204242874405
CNN3,-0.304822181388158,0.00406232104515058
XLOC_007462,0.401490155328136,0.00407107290956971
PVALB,-0.415536996459803,0.00407202779432825
HSPH1,0.229816897915952,0.00407253338993355
NUBP2,-0.129366863745581,0.00407330092016973
SNPH,-0.340864865222269,0.00407632369070374
XLOC_008624,0.271992341990654,0.00408417667157717
LOC401497,-0.332018629894414,0.00408909375937558
CMTM7,-0.314607650011782,0.00409204683872472
ENOX2,0.135128542547612,0.00410353999422225
MYLPF,-0.386705075887846,0.00410683034214526
C14orf41,-0.378006927337117,0.00410812385538959
IP6K1,-0.207638904541886,0.004112211450927
XLOC_003053,0.326074725269114,0.00411360551257193
APOBEC3A,0.430606471213925,0.00411600513905162
SRRM4,-0.589660497602177,0.00412589817763197
C8orf44,-0.182541202942404,0.00413164617426998
XLOC_004140,-0.270211466126574,0.00413266205084279
HIST3H2A,0.476372669956965,0.00413356386763796
APOB,0.718346335733737,0.00413459842683306
SLIT3,-0.292240501709053,0.00413923587548083
FAM69A,0.182533058835131,0.00413969057985728
TLR8,0.453313727073416,0.00414620117932192
TNFRSF10D,0.228425063399445,0.00414675161491459
HRAS,0.175562914170444,0.00415033571915911
INHBA,0.520882750183226,0.00415541461838414
POU2F2,0.208662586475546,0.0041610317905527
KRI1,-0.145795214748877,0.00416592890456443
ARL6IP6,0.17359590609166,0.00416929745988997
PEA15,0.211268786320741,0.00417295144645357
SLC4A8,-0.310863909194422,0.00418138930132813
GTF2A1,0.125538777725354,0.00419293090986873
CTBP2,0.171134371194553,0.00419558638413356
C8orf44-SGK3,-0.335581674429497,0.00419676540803301
FAM132B,-0.2744783298363,0.00420353667187001
XLOC_006702,0.420860517813002,0.00420836930217399
POLD4,0.199587099806362,0.00420874136564175
SYTL1,-0.275570745492607,0.00420986435631779
RNU2-2,-0.329221854253997,0.00421061975151498
SLC25A1,0.175997110412101,0.00421217041879871
GPR112,0.397079389080244,0.00421315791767022
XLOC_009707,-0.571837505101656,0.00421715610594009
XLOC_011299,-0.365683900832644,0.00422344105916097
PIH1D2,0.294669293923039,0.00422771555522458
FAM115C,0.25192240713276,0.00423465135643274
HSD3B1,-0.455730103859526,0.00423491785347419
XLOC_l2_011908,-0.61749975347052,0.0042396278520453
CCNY,-0.161860225278359,0.00424214871666555
CLCN7,-0.145029819040236,0.00424270526848564
SYT13,-0.440068065708085,0.00424464581568756
ZNF677,-0.2344962732357,0.00427391881006173
LOC338739,0.242325999269416,0.00427442907951525
MTHFD1,0.199994036499574,0.004278194396879
ADAM11,-0.199821482750306,0.00428231853541615
XLOC_007559,0.308502765151965,0.0042851065049087
SNORD124,-0.199755059937624,0.00428718739882927
ADAR,0.173305352995774,0.00429110315946722
TINF2,-0.106293017673561,0.00431579388735511
PCK1,1.17586874226419,0.00432552144514916
XLOC_008530,0.286428564049976,0.00433839025202934
RTN3,-0.125070030317987,0.0043462519618809
FAM138E,-0.279365250505754,0.00435315150493071
CYP4Z1,-0.176128991343785,0.00436082596013878
BHMT,-0.456095055679,0.00436421483936265
HLA-A,0.258597262793327,0.0043682027238643
LOC100652997,-0.30205566395845,0.00437578402564559
H3F3B,0.124497633520493,0.00437632195693522
PTPRN2,-0.306527354435559,0.00437880475563122
SFXN2,0.277487784760961,0.00438221100892562
ANXA3,0.213459909885255,0.00438946022026488
PRICKLE1,-0.350183013666867,0.00439326076137852
TTN,-0.272884139432683,0.0044030604711461
TMEM41B,0.133380624317862,0.00441813136910743
XLOC_l2_001520,-0.279646256226,0.00441938842612086
FGR,0.501834244890286,0.00441943534789937
GATAD1,-0.132568314212415,0.00442262125257864
LOC100293962,-0.414764913166116,0.00442747417792484
POU6F1,-0.316805906917642,0.00443835290751289
FAM200B,-0.159837597974903,0.0044449656679576
NAA38,0.138644562732201,0.00444799330372174
KRTAP10-1,-0.24661775541837,0.00444957624464833
LOC100507353,0.405070264409688,0.00445347565115711
XLOC_012161,0.305828724489504,0.00445762741438623
XLOC_l2_010650,-0.107370842873407,0.00445877324426769
LIN9,0.17960798030498,0.0044667747466232
XLOC_003865,-0.288962941257815,0.00446748926751964
GSR,0.138843031440047,0.00447139460765484
BANP,0.16953054357035,0.00447603710286195
XLOC_l2_012374,0.122031178652434,0.00447961013135094
PLA1A,-0.500655034866198,0.00448397437946158
PRSS21,-0.530296442338317,0.00449490811265431
CDH1,0.214122188515871,0.00449594696512811
XLOC_l2_001529,-0.48796872417253,0.00449798182332664
DEFB1,-0.604891393455276,0.00449821682086115
CDCA7L,-0.193810592827389,0.00449983087728976
PTH,-0.266833864025358,0.00452105754035841
ARL17A,-0.3664001713047,0.00452612557650741
EIF4G1,0.242430269873718,0.00453106572719108
EED,0.127231445496937,0.00453390653775375
RAB21,0.129453025947791,0.00453472427636212
SNRNP40,0.22284485367816,0.0045376733446903
CCDC78,-0.276173103458266,0.00454175007481821
C1orf216,0.299617448596198,0.00454205780899187
CHID1,-0.195025272284088,0.00454211857358632
CCDC167,0.247748801187523,0.00455401539228566
GPR64,-0.588050185799871,0.00455562640852361
RACGAP1P,0.250638843106513,0.00456163311010185
LY6G6E,-0.308028594497684,0.00456320423371698
XLOC_013728,0.254395706946029,0.00456572420610667
MIS12,0.164399178719325,0.00457267146877524
XLOC_003630,-0.347990003674552,0.00457581299755408
ST8SIA4,0.25250749559361,0.00457890663389267
MUC5B,0.727503783681807,0.00458034925896266
PNRC2,-0.168447054152718,0.00458049035608839
UCKL1,0.190126345649127,0.00458079283405219
MCOLN3,-0.34280061540898,0.00459518133833687
CAND2,-0.380010888956194,0.00460475593010648
LMNA,0.215318003199064,0.00460727390325908
RIC3,-0.482884989412499,0.00461108941152692
ARHGAP26,0.16337433786327,0.00461271169708665
SERPINE2,0.58225032186471,0.00461636180337947
PAK7,-0.20099793237727,0.00462281131328895
MICAL1,0.246873669280357,0.00462356505709841
MFSD6L,-0.279952506132996,0.00462601219691631
MCM3AP,0.102810129254095,0.00462651067258607
SH2D2A,-0.241994266686751,0.00463776146607999
UBXN4,0.129423084353455,0.00464255806275899
HNRNPU-AS1,-0.271364461520701,0.0046431086356741
TCF7L2,0.287231912307327,0.00465264216679488
NIPSNAP3B,-0.201044371742927,0.00465408189336602
ZYG11B,0.175026076247505,0.00465703534372893
TCHP,0.19298195992903,0.00465944520394474
PPP2R5B,-0.278415152553337,0.00466315935287597
TMEM50B,0.148352918361242,0.0046705771509731
FAM111A,0.217259486178844,0.00468077144459295
CELF2,0.358004554896311,0.0046835375021376
SMU1,0.103678537818434,0.00468453447260865
XLOC_010390,0.38742468787478,0.0046915068754852
ALDH3A1,-0.533462060135346,0.00469269060525239
BCL7C,-0.194727639503885,0.00469480090192176
ROBO4,-0.31796123385763,0.0046972338624379
LOC100505666,0.216265136787833,0.00470272523234411
KRTAP4-11,-0.306605299293678,0.0047154508434046
HYOU1,0.373506800051677,0.00471983703212599
EFR3A,0.164581318419841,0.00472338642202505
DEPDC5,0.222153037410024,0.00472396448151177
FAM195A,-0.187876394931999,0.00473180143042197
LOC643699,-0.244304782953197,0.0047337006339321
LOC100506639,-0.171888678945709,0.00473892021463254
RAP1A,0.161718057132411,0.00474077338525093
FERMT2,-0.322326777147699,0.0047414497948143
SH2D6,-0.389625699019176,0.00474263618646581
C20orf134,0.232759238216414,0.00474488183274503
ZNF720,-0.258362480780457,0.00474634111339929
LOC100507203,1.04195288436496,0.00474693123374599
ATP2A3,0.317130100038244,0.00475238338985786
ZNF692,-0.248142986313935,0.00476349260376735
PEPD,0.345515638795469,0.00476442689262677
LOC100130894,0.333913263525117,0.00477039856617232
RAB9B,-0.299873210204465,0.00477188318678805
LOC100130876,-0.390524415156384,0.0047722719506011
CDKAL1,-0.147563256914403,0.00478209565451533
C6orf208,0.390962302858836,0.00478234268135862
PDK4,-0.322115481204213,0.00478413170902392
KIAA0226L,0.650692091653292,0.00478570591293407
HOXC11,-0.312516371029485,0.0047908078936638
TTC9B,0.512192940827296,0.00479661957882065
EDC3,0.143954606602757,0.00479973411260921
RUSC1-AS1,0.272752417602962,0.00480962117080564
RFWD3,0.217127624405069,0.00481179563212644
XLOC_004545,-0.297618642996846,0.00481244263408717
FAIM,0.234190336368881,0.00481453765945223
LOC100131662,-0.675819779560498,0.00481483694705025
STXBP1,-0.39536073663651,0.00481693826192441
MGC70870,0.224489685672379,0.00482710268919374
XLOC_006520,-0.335430261853745,0.00482745737091857
LOC100507100,-0.332773641670231,0.00483548543178727
PHF14,0.195710654974589,0.00483626751771236
LOC100132831,0.196764958120925,0.00483635548229116
XLOC_l2_015441,0.141276208142653,0.00483731502467359
PHKA1,-0.286416940388865,0.00484255412604227
TRIM33,-0.125702336165113,0.00484667000451601
XLOC_005540,0.446372630589653,0.00484725920930456
C11orf75,-0.191094057818194,0.00485377937067708
DSCR10,-0.335809658378247,0.0048614670489088
OSM,0.283640361657957,0.00486197609236191
FCN1,0.643863987724312,0.00486368462211889
KLF8,-0.269960608404244,0.00486647453160537
HOXC9,0.627950951109434,0.00486828324663637
ATP6V1E2,-0.240545974527866,0.00486938802347125
TUBG1,0.150329364714241,0.00487118138496967
MPHOSPH8,-0.167515433846792,0.00488653082908747
DEFB124,0.346085318208549,0.00488835207397992
GNLY,0.345592459762917,0.00489877209572071
LOC100128787,-0.263839219000396,0.00490300847731044
SEPT6,-0.288541136986039,0.00490315840683729
OSBP,-0.11674138285367,0.00490614235461836
METTL1,0.248072799151317,0.00490936167842844
SLPI,0.444617431366249,0.00491968619743801
REG3A,1.48935277884829,0.00492430108113785
LOC100289019,-0.199330458961922,0.00492437845646133
LOC100133161,-0.299124108787103,0.00492683292661306
XLOC_004650,0.250011049613307,0.00493304863177589
CRYZL1,0.227678697627482,0.00493573235305344
RARRES2,-0.344546100397831,0.00493706531169757
TMEM17,-0.333128359022254,0.00493707703432513
ZNF461,-0.275596429144443,0.00493739091928453
XLOC_011029,-0.208718230461077,0.00494503934628315
DHCR7,0.261577395465717,0.00495644025542507
XLOC_l2_015738,0.0841293433218797,0.00496319190164589
C7orf26,-0.107511106529307,0.00496874759376958
KCNAB2,0.391009136809738,0.00497035790766207
XLOC_007502,-0.250588531656161,0.00497415683940297
XLOC_007511,-0.430684302287608,0.00497960070977948
GLB1,0.163275977817418,0.00499437023551899
TTC6,-0.216063908838366,0.00499644737122636
TLR3,0.335022704849518,0.00499801621019357
XLOC_013853,-0.46022750444854,0.0050036437415464
PDX1,0.391780841758647,0.00500492414668766
ROR2,-0.310252101577743,0.00500544586210016
DDT,-0.189247189435394,0.00500673943790218
HOXB13-AS1,-0.298235839213306,0.00500780840868916
PUS7,0.241640894868989,0.00500885492250851
KHDRBS3,-0.375783261131981,0.00501545169029607
MPPED1,-0.224870466436401,0.00501765351367434
MARCO,0.460319007581661,0.0050239629266166
LOC440792,-0.363110500860313,0.00502704763706574
C19orf68,-0.197524730921685,0.00503189647309411
ABCC2,0.418795026972457,0.00503631751741712
HIST1H4J,0.205222317860602,0.00504012595127095
C11orf44,0.226655324689623,0.00504096275417183
MOP-1,-0.359657291156427,0.00504123255386822
LOC440300,-0.341968389205721,0.00504497894513399
XLOC_003298,-0.370147127306945,0.00504998556988093
OASL,0.436557612706292,0.00506521784161606
GZMM,-0.240147354792748,0.00506556602371182
IRF3,0.15377114981835,0.00507057835972318
AEN,0.26783218076761,0.0050755753395745
FGF21,-0.41461733006976,0.00507701966905887
KGFLP1,-0.265155669526607,0.00508058020918969
PHACTR3,0.201565229071307,0.00508162099242856
SEC16B,0.314011959165221,0.00509164342711254
TRIM22,0.351387919779223,0.00510743078685365
PLK1,0.295326496031059,0.00511022774626061
SLC28A1,0.568565467666049,0.00511598148853673
INSM1,0.632403725374948,0.00511734195027668
PKIB,-0.453032124503901,0.00511912406256546
PLIN2,0.444823117982549,0.00512095182145307
CCDC138,0.348984393325709,0.00512258343426806
CLASRP,-0.226345705755804,0.0051328900110755
MALAT1,-0.345807149146851,0.00514427559989588
HLA-DRB4,0.598061879552385,0.00514877015369227
TRIM34,0.236037575866898,0.00515725340610829
RBM7,0.119936827522401,0.00515953656259596
SNX20,0.349366518955371,0.0051610985739459
FLJ40606,0.434755476930308,0.00518842182891428
IL1RL2,0.339515922273059,0.00518903091089457
SP140,0.35509615400774,0.00519695330318585
RNF123,-0.170252166228275,0.0052020685738603
NAT8,0.988688288633429,0.00520249496985862
IMP3,-0.0975939029116368,0.00521346540361578
CRLS1,-0.165421260676814,0.00522678970028732
APOBEC3G,0.338153905266367,0.0052270595866008
NAA40,0.24314845828548,0.00522864739140855
HIATL1,0.14765474830367,0.00523303276855925
PLXNA2,0.4031375624329,0.00524612667430128
MAPK1,0.111899688288983,0.00525301192876707
GAD1,0.187118438050579,0.0052680345151538
ANAPC13,-0.150850514454808,0.00527135009536705
FEZF1,0.399358995359476,0.00527291960640888
CEP63,-0.0985125525463166,0.00527438999485647
LOC143286,-0.256232057485355,0.00527678705775059
MYO18B,-0.481479351749464,0.00527730391795168
NRXN2,0.388321743919692,0.00527862562678932
SF1,-0.224442246766331,0.00528233938211425
TMEM64,0.224823687567437,0.00528420071615896
TCN1,-0.892567909702389,0.005289463467419
TM9SF3,0.109388940991652,0.0053092009427925
WDR89,0.206632895300761,0.00531236228734665
PCDH20,0.604403059066288,0.00532409158622245
ACACA,0.182988713432313,0.00533154478089927
POLR2F,-0.477023097602619,0.00533360253346106
XLOC_007645,-0.437950468064477,0.00533681496230525
RRAS2,-0.134460669554727,0.0053395110656955
EP300,0.215423551965655,0.00533981567355775
METTL23,-0.0996974074429309,0.00534586153374585
PICALM,0.141633283575262,0.00534627212951765
XLOC_006833,0.373845075374907,0.00534725262598671
DAPK1,-0.231482231286253,0.00534971779181869
TSPAN32,-0.296605728105559,0.00535004880048713
CGREF1,0.210210708110236,0.00535325730483233
LILRA5,0.330335549063442,0.00535675130056903
RRP36,0.133297006320614,0.00535732961086156
LOC100507195,0.294221689125306,0.00535953185509501
UBE2Z,0.143100512559831,0.00536064147310272
SNORA70,-0.288681514881532,0.00536750268944773
LMBRD1,-0.132721954199619,0.00536953771275222
AGA,0.187871549885784,0.00537003854420293
XLOC_001153,-0.287508849615358,0.00537154142236478
PTPN18,0.114002032895288,0.00537322220268708
DNAJC16,0.287398102565812,0.00537458066642697
BUD31,0.096563764147982,0.00537697769618958
KAT2B,-0.223122048594503,0.0053836099472771
XLOC_l2_012210,-0.267592283010889,0.00538601186991647
KRTAP20-4,-0.213948527222989,0.00538986384213413
XRCC2,0.326300692898485,0.00539546205971439
PLCXD1,0.380324136915769,0.00539830460870845
CYP2B6,0.384327648491871,0.00539932368582033
XLOC_010361,0.387219936547306,0.00540516501992915
LOC100131150,0.339863198696674,0.00540581732574087
ZNF728,-0.29865040055058,0.00540697673106071
ACSBG2,-0.265531681033277,0.00541174688461384
MORN5,-0.39784284499355,0.00541187581767457
NARF,-0.152238304589977,0.00541933906091006
TMED5,0.109763345899364,0.00542914336021389
BARX2,0.363610065853851,0.00542971485106291
FAM207A,0.149604094651049,0.00543920288641978
GPR65,0.548498559579738,0.00543969927155847
TMEM177,0.107214971407415,0.00544205762037665
WDR62,0.320886190369007,0.0054442045247495
AQP7,0.378215762086207,0.00544909213374476
SNORA57,-0.229350554775892,0.00545758128552937
XLOC_000543,-0.311619336256428,0.00545948608673598
LOC100129515,-0.280554961101936,0.00546744928390805
MYOM3,0.407757972783468,0.00546913595633019
GDF9,-0.493726960331855,0.00547378486437498
XLOC_l2_007449,-0.109840439942753,0.00548019419290329
KRT2,0.393802866480104,0.00548278755963151
FNTB,0.119628909000375,0.00549894250784033
WDR44,0.201759605793237,0.00551141064411427
ACCN1,0.383059834780421,0.00551924299573418
ABCC6,0.252728467829551,0.005522005808582
LOC100652741,-0.24709663178389,0.0055260544780027
UBE2I,0.113461949648883,0.00552930143784809
XLOC_008560,-0.441431694647,0.00553081815887461
DBR1,0.2286546421028,0.00553188912361281
LRRC27,-0.173381754354831,0.00553387746347647
LSG1,0.150021317473382,0.00553664101160872
CAB39,0.148832600208442,0.00554753260887859
LOC100289196,0.189190319743259,0.00555119856028074
SMCR8,0.277940498144739,0.00555262993587433
ZNF160,-0.208442645966445,0.00555413185723531
MYO7A,0.218363990840609,0.00555788779980331
SMG8,0.113623958902339,0.00556049690378753
EGLN3,0.178315760321186,0.00556673243903663
PNO1,0.306829873022012,0.00556706547981986
TP53RK,0.172942851846375,0.00556906040984269
RPS2,0.141069653546863,0.00559051888499976
VMP1,0.186827060389479,0.00559158224186846
CCDC62,-0.242578054949083,0.00560489420795462
NPAS3,-0.280002177435716,0.00560558057919874
SLC25A38,-0.10123674028877,0.00561361565198238
NAT14,-0.165085773912939,0.00562479175325583
TIGIT,0.463022208121139,0.00562838331305926
PSMF1,0.161925003582333,0.00563840610869684
XLOC_l2_009572,0.424859364194068,0.00563922656335829
SNX27,0.118673390855472,0.00564646816577543
CREB3,0.134034251503241,0.00564888885115699
CCDC72,-0.170421880452205,0.00565407327982509
CEP290,-0.203982670267732,0.00565934524313564
LAGE3,-0.157981929612612,0.00566065414076209
XLOC_005365,-0.359320648942599,0.0056677683747351
LOC643988,-0.354287571603598,0.00567732199412477
MACF1,-0.176438421772835,0.00567914988634127
XLOC_002892,-0.285691253211865,0.00570079228870826
LOC729950,-0.335894021467475,0.00570375685568802
C12orf4,0.177527412541542,0.00570663731074431
AHDC1,-0.189638835712493,0.00571656180647576
CYP3A4,0.925375116070291,0.00571658203939236
XLOC_008867,-0.249768304167572,0.00572672861746948
LOC100134229,0.225770418972786,0.00574083942395273
CHST2,0.2894618251999,0.0057488575468489
BRPF1,0.202097465214355,0.00575479199682258
C2orf62,-0.315883972221509,0.00575479367193211
CDKN2B,0.444836413006077,0.00576306241933621
LOC100506630,0.524691448994317,0.00577092214779513
NLGN4X,-0.485545392200638,0.00577814690812815
SDPR,-0.325302459410439,0.00578224204103017
CSDE1,-0.0995109866943551,0.0057847460493313
XLOC_l2_015542,0.22619458460359,0.00578650572447534
EPB49,-0.245337762848067,0.0057931475528449
REP15,-0.449011822685526,0.00579319419233161
MYBPH,0.341078944071613,0.00579813075296797
KCNN4,0.30992637223929,0.00579833523441488
REV3L,-0.158934174909696,0.00579946465646214
XLOC_012870,0.192152235103013,0.00580502954307562
TMEM176A,0.505481946907145,0.00580601428652892
CCDC60,0.430870799982115,0.0058155392590518
XLOC_l2_001302,-0.287578930308914,0.00581855573694635
ZNF678,-0.187708182018737,0.00582243457772838
C9orf123,-0.23003847983173,0.00582425422064559
P2RX7,0.25456851343025,0.00582874457012795
CDKN1B,-0.101466554908018,0.00582887401342984
F2RL3,-0.316329814037667,0.00583422482031189
C14orf93,-0.123487415663494,0.00583732883996352
PPM1E,-0.266953266205317,0.00583783852005596
HRASLS5,-0.201588920042528,0.00584004155288924
UBA5,-0.0872807330252172,0.00586111572105019
SCG2,0.559064420384424,0.00587202142051049
LOC100131564,-0.313559696035335,0.00589152559922751
FKBP3,0.106369603359662,0.0058929761670478
LOC100287177,0.368426704032329,0.00589728628414591
XLOC_003595,0.3879717790766,0.00589993801017634
NCF4,0.400771536369149,0.00590182238060839
SRRM2,-0.216805250033212,0.00591890615871029
LOC100287616,0.346495801970626,0.00592068933483659
KCNT1,-0.249515699193233,0.00592361078631496
FRG1B,0.330805390765721,0.00592593380705176
RIMS2,-0.186173687138995,0.00592790220926316
SNORD117,-0.321111790605582,0.0059300134503374
DAP,0.137560440023244,0.00593591633000237
ZNF530,0.333013225190408,0.00593693779511462
CEBPA,0.228344925392404,0.00593826864248898
FTO,-0.21989857832566,0.00593927036392065
ABHD14A,-0.157434848077212,0.0059425831671915
SEMA6A,0.51165944493031,0.00595362687775457
XLOC_003734,-0.233177049833657,0.00595386421041462
NUMBL,0.251016791193579,0.00597404948381446
RBMX,0.239746335221898,0.00597441875070437
PRODH,0.416597112334581,0.00597461028305059
DPP10,-0.283642569026743,0.00597499187806819
SRP54,0.154637411317378,0.00597860804173031
MLLT3,0.266260610060448,0.00597862509987619
RUSC2,-0.142486983226077,0.00598403420211813
GOLGA1,0.157368922945808,0.00599207439181453
MRPL16,-0.12682325180193,0.00599829651922711
CPS1-IT1,0.408281042898373,0.00600210007088795
CEP57L1,0.147324437884911,0.00600761906137928
FLJ11292,-0.336680854578672,0.00601073577336781
CDCA5,-0.348312545032971,0.00601375559789974
LOC100170939,-0.318230044091624,0.00601496485897217
UBE2Q2P3,-0.473497774500331,0.00601561025773223
NFATC4,-0.346779867731665,0.00601682543369286
CYCS,0.267206606113026,0.0060178261369148
RMRP,-0.231681685571521,0.00601986381277511
Q9UJ41,-0.26615555163137,0.006021899124937
NF2,0.117905778816566,0.00602545013643896
HNRNPA2B1,0.162061053708172,0.00602616765661117
WHAMMP2,-0.237785220134319,0.0060270181349856
DUSP1,0.344194701488084,0.00603275792053289
TMEM132C,-0.308332849226832,0.00603708407546527
OTUD7B,0.204920118198034,0.00604282658312608
XLOC_l2_010863,-0.276733903018992,0.00605498401251438
ESAM,-0.244566924479362,0.00608000042198851
LOC100507516,0.307161159699217,0.00608193839329899
CDK4,-0.181605473316512,0.00608463701517294
EIF3G,-0.119366009857046,0.00608646931367408
KRTAP21-1,-0.332199114964252,0.00609078623782464
MAF,-0.444280984151225,0.0060913476828487
Q982T4,-0.259919688958654,0.00609227012613297
XLOC_003386,-0.237328765406147,0.00609668542048829
CDC14A,-0.312505417837144,0.00610589713517851
UCP2,0.269406585025559,0.00610672392106662
SERP1,-0.145853508772595,0.00610990852135039
TPM3,0.168142203644804,0.00611053903692986
LOC100128170,-0.3112267565116,0.00611455566792166
ERVFRD-2,-0.333317359891807,0.0061378222714147
TMEM27,-0.47054054729992,0.00614473501762052
XLOC_001787,-0.199848723298159,0.00615204678373158
XLOC_l2_000636,0.19182431427633,0.00617581298822626
XLOC_004841,-0.377216131135553,0.00618022306523798
SDC3,0.223515996468833,0.00618024700930454
LOC100128640,-0.338796426969945,0.00618133705807734
PRMT1,0.172963416685696,0.00618742008026058
XLOC_001663,-0.378766851318502,0.00619062932085443
LOC100505771,-0.246521849149787,0.00620124133353123
FBXO32,0.226103962371916,0.00621841564756615
GTDC1,0.227656419109468,0.00621995788006954
FLJ45684,0.411403431486461,0.00622100688322325
RTTN,0.229868567300719,0.006226196838215
DCP1A,0.118690187403722,0.00623003822313135
SLC17A3,-0.396614708848079,0.0062309493684335
ZNF75A,-0.249581706148109,0.00623781859475745
PSMD3,0.0808666471685382,0.00625116270774901
PELP1,-0.151543076527272,0.00625773825171292
EIF2AK4,-0.122252156116778,0.00626125746931622
EYA1,-0.201719933613989,0.00626150582060936
RNASEH2A,0.20964544872875,0.00626247631135392
MANBAL,0.106817736734491,0.0062634185627505
GLRA4,-0.210181169053994,0.00626481127524849
TRAPPC2P1,0.177239880656546,0.00627976280471355
XLOC_l2_010330,0.290029269327498,0.00628092048546093
SNHG8,-0.137646884937889,0.00628395740422234
ENPP1,0.241631724386491,0.00628729479957349
DAZAP2,0.156311593361687,0.00630262021945413
GPR137B,0.185771950743538,0.00631032759920378
CITED2,-0.188201792101734,0.00631919938563481
XLOC_006325,-0.421480021348505,0.00633473618562066
ZFPL1,0.148194934713026,0.00633613690381956
PCGF3,0.167767021189227,0.00635158594808196
SORCS3,-0.185160703478805,0.00635940915899422
XLOC_l2_014835,0.57205384164568,0.00637107392113795
CLINT1,0.18422204375011,0.00637371490027517
FLJ30901,0.381259175550607,0.00637858223420261
TAGAP,0.334758894375103,0.00638011230698789
GRK1,-0.280789497538868,0.00638311564916608
TLCD1,0.178491250261873,0.00638785936924063
