gene,logFC,P.Value
GABARAPL1,-1.03438197594915,3.91568691011049e-14
GGA2,-0.749197445737732,4.25064963559126e-14
ABTB2,1.20469075123795,4.31569873641348e-14
XLOC_000682,-0.947084727674917,4.3502183608394e-14
ANGPTL3,-1.24847750506714,4.50284119287046e-14
REXO2,-0.749906951927978,4.6724579099867e-14
FGD4,-0.747396056820187,4.78944839554051e-14
CCDC101,-1.28312413335464,4.95051610703104e-14
XLOC_001748,-0.890305918955839,5.00322005529315e-14
IRAK2,1.30233808783965,5.08796500024164e-14
TMEM161B,-0.740280892826508,5.49249770370171e-14
FZD4,-1.04596503336986,5.794969229669e-14
PAPSS1,-0.719677755475669,5.80104845690521e-14
CHRNA5,1.66284482064654,5.89138251168394e-14
LOC100506452,-1.71919243503402,6.39870530484561e-14
LOC100505754,-1.50642802264629,6.63761062339198e-14
ASB11,-0.598029538610379,6.64455948579835e-14
TRIM10,1.10849044476364,6.70110278489846e-14
MRGPRX3,-1.75906886290717,7.23278252398888e-14
ME3,-0.848116390708375,8.22466298844476e-14
XLOC_009183,-1.3306651278638,8.23377183737288e-14
GRIN2D,2.37309570278527,8.52015527661041e-14
GHR,-1.22265698116803,8.5398586740286e-14
LRIG1,-0.879333732971355,8.6932885067737e-14
XLOC_l2_015800,1.92768510851915,8.93246298614334e-14
ANXA2,0.843918262702742,9.05707527360423e-14
PPP2R3A,-1.30170337430561,9.16455769136485e-14
DCAF12L1,-1.06466379907552,9.96221195828714e-14
MALL,2.32431188439258,1.01570080421507e-13
GJB2,1.37147441046053,1.06308236240604e-13
YPEL1,-0.743224789058311,1.10654496954543e-13
LDHA,0.9088503521075,1.30968193103923e-13
CELF4,-1.67227726806997,1.31930604718419e-13
CEACAM3,1.94182824037038,1.38760375004401e-13
ADORA2B,2.2754864512179,1.40346991557251e-13
ODZ3,-2.06124223427894,1.41827647874498e-13
LIFR,-1.31861748184686,1.47689994520325e-13
XLOC_012240,-2.100080811637,2.02442638420663e-13
XLOC_001589,-1.25177718418349,2.09402208708256e-13
SIGLEC11,-1.18475524344488,2.11882799405407e-13
CEACAM1,1.28217900695301,2.19794344081188e-13
ACOT7,0.951624508605223,2.20553221583321e-13
AGR3,1.06329243895803,2.25430038449095e-13
DNAJC6,-1.23974854238726,2.32224095370461e-13
LAMP2,-0.690466523932919,2.42292202986224e-13
CD55,1.65522410351273,2.45109470131141e-13
NOXO1,1.14429090423383,2.57812765590409e-13
C8orf84,-1.94405875160086,2.57858438706946e-13
LRR1,0.744331099713699,2.69631195670334e-13
GPSM1,-0.781301446537515,2.91364978290998e-13
GPT2,-0.977125426297381,2.95852730149355e-13
C14orf37,-1.34701556085943,3.03959821228533e-13
ANXA2P3,1.17765460682455,3.08282320245237e-13
XLOC_003296,-2.09511611542689,3.16235548941444e-13
SNORA80,-1.16046492619752,3.26136895610763e-13
GIF,-4.10858365651445,3.34248979248832e-13
PPA1,0.649754998320116,3.41160412794193e-13
PXMP2,-0.669532719734508,3.71248348332357e-13
METTL7A,-0.844365276799115,3.78295434988588e-13
XLOC_004446,-1.75170200789188,3.83151343746471e-13
BAIAP2L2,1.43737927837056,3.84981282078189e-13
PAIP2B,-1.18594985919712,4.16458696060977e-13
DNER,-2.35132328813693,4.16625444758122e-13
CLDN4,1.33401919273638,4.18512161381429e-13
EGFL6,-1.58053745779662,4.19405272575584e-13
SUN5,-1.28359038749248,4.21977909392682e-13
PAQR5,-1.64429102725368,4.36666350755168e-13
CLCNKA,-1.84742756481381,4.43589306191923e-13
ANXA2P1,1.00235558861217,4.52236167932874e-13
ACADL,-1.47082746210077,4.6741099186842e-13
LACTB,0.516113172697696,4.68621743391567e-13
FUT5,1.32212767752312,4.75873254556678e-13
PDE8B,-1.18629427328228,4.89339191507017e-13
GLUL,-1.27952144370667,5.01202633587192e-13
PLEKHM3,-1.47033653158354,5.17338293603115e-13
XLOC_l2_002611,-2.3789281686047,5.87432423532213e-13
LOC644192,-0.875395166924625,6.18450600439809e-13
XLOC_005517,-0.753465921539782,6.64064427379631e-13
TMEM37,-1.27891862729786,6.79090831751321e-13
RAB3B,1.45264193088502,7.25528205269608e-13
GCNT3,1.81174587999672,7.27019881218399e-13
IPW,-0.742638836376011,7.29878317638927e-13
RGN,-1.5157474597135,7.40030502411528e-13
CCL15,1.97800596556197,7.41023859329635e-13
CKM,-3.26624444795035,7.51733546831717e-13
SERPINB5,2.8198444725381,7.73561293051245e-13
HDC,-1.91226377912326,8.01620287378595e-13
OBSL1,-0.715551047435573,8.17989037006365e-13
CDK14,-1.02702213495227,8.40542892074132e-13
SLC25A36,-0.639621764711666,8.434580450589e-13
TMEM132A,-1.20003068992823,8.97149260959832e-13
INPP1,1.13552697481904,9.05481000058157e-13
STARD5,0.947120330283677,9.26960247090035e-13
PTPRM,-0.914337663748659,9.33316807174502e-13
C20orf118,2.17578335259789,9.46601092825713e-13
FUT3,1.44843175265166,9.54456399627483e-13
CECR5-AS1,-0.89424810165595,9.57019339511895e-13
TMEM150B,1.18209175212425,9.77064813643531e-13
ABP1,2.10123995616234,1.00744042859225e-12
KCNJ16,-3.06979327631096,1.00816998772522e-12
XLOC_002678,-0.9953863479823,1.02150438226071e-12
PGM2,0.617096549841868,1.03526669745002e-12
MYRIP,-1.58133359580801,1.11447186419492e-12
LOC100505535,1.29604886641992,1.17880232554953e-12
ZMYND15,0.679293381422515,1.2325698018952e-12
KCNMB2,-1.45576036828324,1.32681649424886e-12
FBXL13,-1.73141187363519,1.39119150889513e-12
